ID	Bin	TaxonRelativeAbundance	Domain	Phylum	Class	Order	Family	Species
OTU_DN_2352	Bin1	3.62505041192827e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_6483	Bin1	2.4520831854823e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2119	Bin1	1.85997513291667e-05	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
GQ339139.1.1475	Bin1	5.64493367202935e-07	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5283	Bin1	4.3990954647502e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5636	Bin1	4.64359021752436e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	NA	NA	NA
OTU_DN_7878	Bin1	2.34532576574886e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_13223	Bin1	1.12898673440587e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_14980	Bin1	5.790455013955e-07	Bacteria	Parcubacteria	Candidatus Kuenenbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_9648	Bin1	1.39496278936759e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_7551	Bin1	2.5408614839955e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_9037	Bin1	6.97481394683797e-07	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_13473	Bin1	1.57431272245838e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
AY921841.1.1366	Bin1	2.1782062069802e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_5520	Bin1	1.92198910493745e-06	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
AY493985.1.1418	Bin1	9.30319099451112e-07	Bacteria	Parcubacteria	Candidatus Uhrbacteria	NA	NA	NA
OTU_DN_12953	Bin1	1.58507493441752e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_17158	Bin1	1.39496278936759e-06	Bacteria	Parcubacteria	Candidatus Magasanikbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_7054	Bin2	2.56581392087442e-07	Bacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
OTU_DN_5224	Bin2	1.62553583444105e-06	Bacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
OTU_DN_3137	Bin2	3.24462065269106e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_8708	Bin2	1.95362824931687e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3711	Bin2	1.97509622992405e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
HQ120591.1.1319	Bin2	6.66361029663113e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
KC358164.1.1225	Bin2	1.10860652679803e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_12238	Bin2	4.07616616317685e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5173	Bin2	4.75552735952027e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
EU134933.1.1233	Bin2	1.88692484244149e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
AM991239.1.1391	Bin2	1.82411843646476e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3642	Bin2	5.08539457455406e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5242	Bin2	4.244720857285e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
EF018382.1.1327	Bin2	3.17014986883505e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
AB179676.1.1344	Bin2	9.29184324865399e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
AM991231.1.1392	Bin2	1.67030793023268e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3862	Bin2	1.17181271994791e-05	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2549	Bin2	2.25197006602687e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_10026	Bin2	6.97481394683797e-07	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5488	Bin2	7.81775255249621e-07	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_2696	Bin2	3.96766063404117e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
HE602783.1.1341	Bin2	4.21185754271237e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
KC329593.1.1430	Bin2	5.37253894495166e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
JQ861406.1.1431	Bin2	9.54577836194008e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_19110	Bin2	5.34564971026579e-07	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
EF018219.1.1324	Bin2	2.87933314423078e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3799	Bin2	2.55336428202719e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_11357	Bin2	1.30895995053683e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
AY921854.1.1331	Bin2	6.86563720980267e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
