SampleID	site
COc77203	CO
COc77206	CO
COc77229	CO
COc77230	CO
COc77243	CO
COc77256	CO
COc77265	CO
COc77268	CO
MRFc1	MRF
MRFc2	MRF
MRFc3	MRF
NEc109	NE
NEc118	NE
NEc212	NE
NEc215	NE
NEc311	NE
NEc317	NE
NEc414	NE
NEc416	NE
SVERCc1c16S	SVREC
SVERCc2	SVREC
SVERCc2c16S	SVREC
SVERCc3	SVREC
SVERCc3c16S	SVREC
WAcC1	WA
WAcC2	WA
WAcC3	WA
WAcE1	WA
WAcE2	WA
WAcE3	WA
