MethodID	sample1	sample2	Heterogeneous.Selection	Homogeneous.Selection	Dispersal.Limitation	Homogenizing.Dispersal	Drift.and.Others
CbMPDiCBraya	COc77206	COc77203	0.000253727085722469	0.354768783131066	0.0638458414389706	0.148132937103022	0.432998711241219
CbMPDiCBraya	COc77229	COc77203	0.00260165143185105	0.358332365414734	0.0180533489909912	0.246994990321325	0.374017643841098
CbMPDiCBraya	COc77230	COc77203	0.000845575021673597	0.273271065067826	0.200949987520983	0.183289290466585	0.341644081922933
CbMPDiCBraya	COc77243	COc77203	0.000414122013509288	0.357224725708984	0.107650434366733	0.143092484518308	0.391618233392466
CbMPDiCBraya	COc77256	COc77203	0	0.325600218897841	0.14066217806406	0.169879832357777	0.363857770680322
CbMPDiCBraya	COc77265	COc77203	4.32413733460175e-05	0.355120451943026	0.0235064260350416	0.141593472010664	0.479736408637922
CbMPDiCBraya	COc77268	COc77203	0.0047719991019175	0.374096141236866	0.0302128933834964	0.131940044256408	0.458978922021312
CbMPDiCBraya	MRFc1	COc77203	0.0207683303797018	0.332466143910584	0.31106270326001	0.0105284551852759	0.325174367264428
CbMPDiCBraya	MRFc2	COc77203	0.0118734021181939	0.301049123276366	0.346574530542574	0.0127174446799621	0.327785499382904
CbMPDiCBraya	MRFc3	COc77203	0.0127518846400631	0.315132454072044	0.334986941395545	0.00377068227399651	0.333358037618352
CbMPDiCBraya	NEc109	COc77203	0.00212213663846043	0.329837914842462	0.112391882936014	0.0513885189504847	0.504259546632579
CbMPDiCBraya	NEc118	COc77203	0.00205473118699788	0.332814380428683	0.10967295283756	0.0364176723141592	0.519040263232599
CbMPDiCBraya	NEc212	COc77203	0.00265025239343967	0.354484265036452	0.0625375105827889	0.0341210740520236	0.546206897935296
CbMPDiCBraya	NEc215	COc77203	0.00204935115206007	0.298944155773344	0.153039377754692	0.0558393674496203	0.490127747870284
CbMPDiCBraya	NEc311	COc77203	0.000343827579169106	0.324653861510011	0.161035319827108	0.0423320817053082	0.471634909378404
CbMPDiCBraya	NEc317	COc77203	0.00213925730609562	0.350324531844181	0.100039464719162	0.0533760578516886	0.494120688278872
CbMPDiCBraya	NEc414	COc77203	0.00216524543078137	0.318675980605825	0.100470985163676	0.0415957474035351	0.537092041396182
CbMPDiCBraya	NEc416	COc77203	0.00290691838197187	0.329853132081223	0.0701220421290789	0.0743640707098632	0.522753836697863
CbMPDiCBraya	SVERCc1c16S	COc77203	0.00127446208894135	0.402695038818941	0.166365642167067	0.0510737514536057	0.378591105471446
CbMPDiCBraya	SVERCc2	COc77203	0.000723444594122636	0.405298188791085	0.11441657870352	0.0322845722882913	0.447277215622981
CbMPDiCBraya	SVERCc2c16S	COc77203	0.00185155667067837	0.402670402175181	0.178379880059184	0.0585994002224269	0.358498760872529
CbMPDiCBraya	SVERCc3	COc77203	0.000746857740936025	0.41145811106152	0.133650699119346	0.0238864735198059	0.430257858558391
CbMPDiCBraya	SVERCc3c16S	COc77203	0.0015442743009372	0.419213105040062	0.186381522445418	0.0576858240775011	0.335175274136081
CbMPDiCBraya	WAcC1	COc77203	0.0094030568132982	0.281942205309327	0.282776528941131	0.00691181240415643	0.418966396532087
CbMPDiCBraya	WAcC2	COc77203	0.00872463614199329	0.293912540545212	0.282659072005673	0.00328776319640661	0.411415988110714
CbMPDiCBraya	WAcC3	COc77203	0.0186399048437319	0.282164597003914	0.343346749018844	0.00261171717746638	0.353237031956044
CbMPDiCBraya	WAcE1	COc77203	0.00533918240160229	0.301121077835056	0.326522581291497	0.0039381940698163	0.363078964402028
CbMPDiCBraya	WAcE2	COc77203	0.00299058378705624	0.275443681050847	0.309545750377254	0.00342541567803972	0.408594569106803
CbMPDiCBraya	WAcE3	COc77203	0.00631316640081198	0.306167209750531	0.30026626066821	0.00150383231353861	0.385749530866908
CbMPDiCBraya	COc77229	COc77206	7.63414777239333e-05	0.376366361789913	0.0529343930907142	0.153954329467776	0.416668574173873
CbMPDiCBraya	COc77230	COc77206	0.0023275501801103	0.293453269485335	0.219489633322357	0.247886384413542	0.236843162598655
CbMPDiCBraya	COc77243	COc77206	0.000415096863901538	0.352739310192925	0.138800679262394	0.229141623011252	0.278903290669527
CbMPDiCBraya	COc77256	COc77206	5.6860227286582e-05	0.347977800690916	0.162574020389475	0.162345501249503	0.327045817442819
CbMPDiCBraya	COc77265	COc77206	0.000506998766528662	0.386893753350965	0.0578213078426383	0.173657743962748	0.38112019607712
CbMPDiCBraya	COc77268	COc77206	0.00526272852284057	0.388837459705071	0.0614544674158172	0.192878871314034	0.351566473042237
CbMPDiCBraya	MRFc1	COc77206	0.0251444674094643	0.330893559245923	0.394832539806051	0.00414655777952246	0.244982875759038
CbMPDiCBraya	MRFc2	COc77206	0.006457850595787	0.337029637114435	0.418681730614099	0.000499281019432605	0.237331500656246
CbMPDiCBraya	MRFc3	COc77206	0.00702979291604793	0.333757678454515	0.390473069094868	0.00240367580819186	0.266335783726377
CbMPDiCBraya	NEc109	COc77206	0.00112638050177206	0.384319078497269	0.0968564793338001	0.0294910886694932	0.488206972997665
CbMPDiCBraya	NEc118	COc77206	0.00229357061321497	0.35512027961392	0.153413438824706	0.0229962036159955	0.466176507332163
CbMPDiCBraya	NEc212	COc77206	0.000523626458111488	0.364079661784011	0.105856628793433	0.0290291384612933	0.500510944503151
CbMPDiCBraya	NEc215	COc77206	0.000515658059356878	0.346185422619339	0.191712193134056	0.0307592145524331	0.430827511634815
