	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900	ERR2523251	ERR2523252	ERR2523253	ERR2523254	ERR2523255	ERR2523256	ERR2523257	ERR2523258	ERR2523259	ERR2523260	ERR2523261	ERR2523262	ERR2523263	ERR2523264	ERR2523265	ERR2523266	ERR2523267	ERR2523268	ERR2523269	ERR2523270	ERR2523271	ERR2523272	ERR2523273	ERR2523274	ERR2523275	ERR2523276	ERR2523277	ERR2523278	ERR2523279	ERR2523280
OTU_dn_2460	0	1	1	1	2	1	0	0	1	1	0	3	0	3	2	2	0	1	4	4	2	0	3	0	0	1	2	5	2	0	1	3	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HM057847.1.1433	0	1	0	0	31	1	1	0	5	0	2	2	0	1	0	2	1	0	4	1	2	42	1	1	0	1	0	5	0	8	62	6	0	0	0	1	0	0	0	0	0	0	1	1	0	4	0	0	3	1	2	3	2	0	4	3	0	0	1	2	1	1	0	0	0	0
OTU_dn_11932	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_8384	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU134533.1.1395	0	1	1	0	0	4	2	1	0	2	8	4	3	8	5	2	4	1	1	0	4	1	5	2	7	9	6	4	6	10	1	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2127	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	2	1	0	1	1	1	0	1	0	2	0	3	2	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_3603	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2873	0	1	2	1	0	0	2	0	3	1	0	0	2	1	0	3	1	0	1	0	1	1	0	3	1	0	2	4	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU563773.1.1493	0	3	49	1	2	4	8	5	5	1	2	5	7	0	1	6	0	3	0	4	5	2	7	1	6	1	1	1	2	3	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	2	4	0	0	0
OTU_dn_2717	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	2	1	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
