ID	SampleID	Sample_IDold	Accession	Soil_type	Plant_status	Group	Municipality	Growth_type
ERR2092865	WildA1	ZA2	Wild_A	Agricultural	Wild	A	Cundinamarca	Climbing
ERR2092866	WildA2	ZA3	Wild_A	Agricultural	Wild	A	Cundinamarca	Climbing
ERR2092867	WildA3	ZA6	Wild_A	Agricultural	Wild	A	Cundinamarca	Climbing
ERR2092868	WildA4	ZA7	Wild_A	Agricultural	Wild	A	Cundinamarca	Climbing
ERR2092877	WildC1	ZC1	Wild_C	Agricultural	Wild	B	Antioquia	Climbing
ERR2092878	WildC2	ZC2	Wild_C	Agricultural	Wild	B	Antioquia	Climbing
ERR2092879	WildC3	ZC7	Wild_C	Agricultural	Wild	B	Antioquia	Climbing
ERR2092880	WildC4	ZC8	Wild_C	Agricultural	Wild	B	Antioquia	Climbing
ERR2092873	LandraceD1	ZD12	Landrace_D	Agricultural	Landrace	C	Antioquia	Climbing
ERR2092874	LandraceD2	ZD2	Landrace_D	Agricultural	Landrace	C	Antioquia	Climbing
ERR2092875	LandraceD3	ZD3	Landrace_D	Agricultural	Landrace	C	Antioquia	Climbing
ERR2092876	LandraceD4	ZD5	Landrace_D	Agricultural	Landrace	C	Antioquia	Climbing
ERR2092881	LandraceE1	ZE11	Landrace_E	Agricultural	Landrace	B	Antioquia	Climbing
ERR2092882	LandraceE2	ZE12	Landrace_E	Agricultural	Landrace	B	Antioquia	Climbing
ERR2092883	LandraceE3	ZE4	Landrace_E	Agricultural	Landrace	B	Antioquia	Climbing
ERR2092884	LandraceE4	ZE6	Landrace_E	Agricultural	Landrace	B	Antioquia	Climbing
ERR2092869	LandraceF1	ZF11	Landrace_F	Agricultural	Landrace	A	Cundinamarca	Climbing
ERR2092870	LandraceF2	ZF8	Landrace_F	Agricultural	Landrace	A	Cundinamarca	Climbing
ERR2092871	LandraceF3	ZF2	Landrace_F	Agricultural	Landrace	A	Cundinamarca	Climbing
ERR2092872	LandraceF4	ZF5	Landrace_F	Agricultural	Landrace	A	Cundinamarca	Climbing
ERR2092893	VarietyG1	ZG12	Variety_G	Agricultural	Variety	B	NA	Bush
ERR2092894	VarietyG2	ZG6	Variety_G	Agricultural	Variety	B	NA	Bush
ERR2092895	VarietyG3	ZG8	Variety_G	Agricultural	Variety	B	NA	Bush
ERR2092896	VarietyG4	ZG9	Variety_G	Agricultural	Variety	B	NA	Bush
ERR2092885	VarietyH1	ZH12	Variety_H	Agricultural	Variety	B	NA	Climbing
ERR2092886	VarietyH2	ZH2	Variety_H	Agricultural	Variety	B	NA	Climbing
ERR2092887	VarietyH3	ZH4	Variety_H	Agricultural	Variety	B	NA	Climbing
ERR2092888	VarietyH4	ZH8	Variety_H	Agricultural	Variety	B	NA	Climbing
ERR2092889	VarietyI1	ZI1	Variety_I	Agricultural	Variety	B	NA	Climbing
ERR2092890	VarietyI2	ZI10	Variety_I	Agricultural	Variety	B	NA	Climbing
ERR2092891	VarietyI3	ZI5	Variety_I	Agricultural	Variety	B	NA	Climbing
ERR2092892	VarietyI4	ZI6	Variety_I	Agricultural	Variety	B	NA	Climbing
ERR2092897	Bulk1	CZ1	Bulk	Agricultural	Bulk_soil	Bulk	Carmen	Bulk
ERR2092898	Bulk2	CZ2	Bulk	Agricultural	Bulk_soil	Bulk	Carmen	Bulk
ERR2092899	Bulk3	CZ3	Bulk	Agricultural	Bulk_soil	Bulk	Carmen	Bulk
ERR2092900	Bulk4	CZ4	Bulk	Agricultural	Bulk_soil	Bulk	Carmen	Bulk
