	COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkc16S	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1c16S	SVERCc1	SVERCc2c16S	SVERCc2	SVERCc3c16S	SVERCc3	SVERCcbulkc16S	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
ZOTU381	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0	1	0	5	4	8	0	6	0	10	0	8	0	0	0	1	0	0	0	1
ZOTU483	0	0	1	1	2	1	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	1	2	0	0	0	0	0	0	0	0
ZOTU135	0	0	1	1	2	1	3	2	2	6	16	16	17	179	2	1	6	1	4	1	6	1	10	15	4	1	5	1	11	1	4	7	5	3	68	14	12	11	58
ZOTU526	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ZOTU223	0	0	1	0	1	0	1	0	1	3	1	4	0	7	14	7	8	7	12	6	1	5	71	44	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ZOTU409	0	0	1	0	1	0	0	0	0	1	4	0	4	13	0	0	0	0	0	0	0	0	1	4	2	0	1	1	0	1	2	1	0	2	16	4	1	0	4
ZOTU340	0	0	3	0	2	0	1	0	5	8	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU436	0	0	2	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	6	0	0	1	0	0	0	0	1	0	0	0	0
ZOTU167	0	0	1	0	0	0	0	0	0	0	0	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU297	0	0	2	0	0	1	0	1	0	3	0	0	0	11	0	2	0	0	1	2	2	0	2	2	4	0	5	0	6	0	8	0	0	1	18	6	2	2	2
ZOTU342	0	0	1	0	1	0	0	0	0	3	0	0	0	1	0	1	2	0	1	0	0	0	0	12	1	0	5	0	0	0	3	0	1	0	12	2	0	0	1
ZOTU260	0	0	0	1	0	0	0	0	0	0	2	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	48	3	0	3	17
ZOTU121	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
ZOTU310	0	0	0	1	0	0	0	0	3	0	0	3	4	98	3	3	2	4	4	5	1	4	21	9	14	0	11	0	9	4	18	18	11	28	247	28	27	25	123
ZOTU431	0	0	0	1	0	0	0	0	0	2	0	0	1	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	2
ZOTU474	0	0	0	0	2	1	2	0	2	2	0	3	1	8	0	1	0	0	0	2	0	0	1	0	1	0	0	0	2	2	1	0	0	0	6	0	0	0	0
ZOTU513	0	0	0	0	4	1	4	0	0	5	0	0	0	2	0	0	0	0	0	3	0	1	6	4	1	0	5	0	5	3	3	0	0	0	1	2	0	0	4
ZOTU55	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	30	4	0	0	12
ZOTU515	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	3	0	0	0	0	0	2	0	6	0	0	0	3	0	0	0	0
ZOTU405	0	0	0	0	1	0	0	0	0	0	0	3	2	11	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	1	4	3	1	15	3	3	0	5
ZOTU111	0	0	0	0	1	0	1	0	2	0	10	9	12	60	0	0	3	0	0	9	2	3	0	0	6	0	1	0	8	0	1	44	19	19	255	13	8	13	91
ZOTU117	0	0	0	0	0	1	0	0	0	0	0	1	0	7	0	0	0	0	1	0	3	0	3	1	1	0	0	0	0	0	0	0	0	0	4	0	2	1	3
ZOTU447	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	1	0	7	0	1	2	3	0	0	2	0	0	0	0	0
ZOTU228	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU275	0	0	0	0	0	2	0	1	4	10	0	0	0	0	0	4	0	1	2	1	0	1	8	4	2	0	6	0	2	1	8	0	0	0	0	0	0	0	0
ZOTU164	0	0	0	0	0	1	0	0	0	0	16	11	8	57	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	20	15	17	59	36	16	11	65
ZOTU180	0	0	0	0	0	1	0	0	1	0	0	0	0	1	22	3	19	2	29	16	91	10	3	50	9	0	0	0	1	0	0	1	0	3	8	0	0	1	8
ZOTU295	0	0	0	0	0	0	2	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	3	0	0	0	0
ZOTU217	0	0	0	0	0	0	5	0	0	1	8	2	3	40	1	0	0	0	0	2	0	1	11	6	3	0	2	0	5	0	11	8	12	14	202	17	12	16	43
ZOTU175	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	2	0	1	5	1	0	1	0	4	1	1	0	0	10	0	6	16	5	3	0	1
ZOTU396	0	0	0	0	0	0	1	0	1	1	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU205	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	3	5	0	0	1	0	3	0	1	0	0	0	1	1	0	0	1
ZOTU143	0	0	0	0	0	0	1	0	1	3	1	1	2	14	0	0	0	0	1	1	0	0	7	19	2	0	4	0	0	4	0	9	25	41	182	22	21	29	101
ZOTU339	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	6	3	0	0	0	0	0	0	2	0	5	2	34	11	2	3	12
ZOTU362	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	4	0	5	1	1	2	6	22	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ZOTU315	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	2	0	0	5	6	11	14	2	0	5	0	7	4	11	0	0	0	2	0	0	0	0
ZOTU50	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0	0	0	0	0	0	5	0	0	2	2	2	0	0	1	2	0	4	4	2	2	0	3
ZOTU181	0	0	0	0	0	0	0	2	1	0	4	5	2	19	0	0	0	0	0	0	1	1	0	0	6	0	0	0	4	0	8	20	5	19	50	24	23	21	30
ZOTU448	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	2	6	0	1	0	0	0	3	0	0	0	2
ZOTU264	0	0	0	0	0	0	0	1	0	0	1	2	4	25	0	0	0	0	3	0	0	0	8	8	0	0	3	0	0	0	2	4	5	5	90	10	9	12	47
ZOTU116	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	0	5	0	3	0	2	0	0	0	0	0	0
ZOTU382	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	1	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU97	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	1	0	0	1	0	0	0	2	4	69	0	92	17	95	12	54	0	0	0	0	0	0	0	1
ZOTU202	0	0	0	0	0	0	0	0	1	7	0	1	0	3	7	0	7	9	1	5	0	2	46	61	13	1	34	24	8	13	7	0	0	0	0	0	0	0	0
ZOTU232	0	0	0	0	0	0	0	0	8	5	0	1	0	2	0	1	1	1	0	1	3	2	12	2	3	0	5	1	1	1	11	0	0	0	0	0	0	0	0
ZOTU443	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	7	1	0	0	0	0	0	1	7	0	0	0	1	0	0	0	0
ZOTU438	0	0	0	0	0	0	0	0	1	0	0	2	0	13	0	0	1	0	0	1	1	0	0	1	6	0	4	0	3	0	5	3	0	4	19	5	1	3	10
ZOTU355	0	0	0	0	0	0	0	0	5	1	0	0	0	2	0	0	1	0	0	0	0	0	0	5	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1
ZOTU334	0	0	0	0	0	0	0	0	7	18	0	0	0	0	5	1	1	2	1	1	1	1	7	22	3	0	4	0	10	0	13	0	0	0	0	0	0	0	0
ZOTU185	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	2	2	0	9	2	0	1	7	20	90	0	118	10	178	18	187	0	0	0	0	0	0	0	0
ZOTU269	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	2	1	20	3	66	0	13	2	22	0	0	0	0	0	2	0	0
ZOTU314	0	0	0	0	0	0	0	0	3	4	0	2	1	16	0	0	0	0	0	0	0	0	6	3	1	0	0	0	0	0	0	1	0	5	40	4	9	11	61
ZOTU276	0	0	0	0	0	0	0	0	1	2	0	0	2	16	0	0	0	0	1	0	0	1	9	2	0	0	2	0	6	1	1	1	0	7	36	5	7	3	10
ZOTU261	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU395	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	3	1	0	0	5	0	0	0	1
ZOTU442	0	0	0	0	0	0	0	0	3	8	0	0	0	0	1	0	1	0	0	0	0	0	4	1	0	0	4	0	6	0	6	0	0	0	2	0	0	0	0
ZOTU469	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	2	5	0	3	0	1	0	1	0	0	0	0	0	0	0	0
ZOTU187	0	0	0	0	0	0	0	0	1	0	0	1	0	3	9	4	5	5	17	12	6	7	20	44	22	0	40	5	15	0	8	0	0	0	2	0	0	2	10
ZOTU102	0	0	0	0	0	0	0	0	1	0	2	7	13	71	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	23	3	58	17	24	13	109
ZOTU386	0	0	0	0	0	0	0	0	1	2	0	0	0	1	2	0	0	0	0	0	0	0	4	1	4	0	8	0	11	0	8	0	0	0	1	0	0	0	1
ZOTU463	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	7	4	4	2	0
ZOTU450	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	7	0	2	0	5	0	0	0	0	0	0	0	2
ZOTU398	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	2	0	0	0	3	1	0	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU341	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0
ZOTU525	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	3	0	2	0	3	0	1	0	0	0	0	0	0	0	0
ZOTU272	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU367	0	0	0	0	0	0	0	0	0	1	5	1	3	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	4	3	11
ZOTU165	0	0	0	0	0	0	0	0	0	3	1	2	0	9	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	9	0	0	0	8
ZOTU245	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU414	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2
ZOTU280	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	33	1	5	1	6
ZOTU215	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	5	1	0	1	5
ZOTU460	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0
ZOTU373	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1
ZOTU300	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ZOTU211	0	0	0	0	0	0	0	0	0	2	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ZOTU364	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	9	2	0	0	8
ZOTU507	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZOTU494	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	1	10	3	0	0	5
ZOTU413	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	4	0	1	2	10	0	12	2	11	0	0	1	1	0	0	1	1
ZOTU133	0	0	0	0	0	0	0	0	0	0	25	2	43	335	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4
ZOTU289	0	0	0	0	0	0	0	0	0	0	1	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	2	5	0	12
ZOTU263	0	0	0	0	0	0	0	0	0	0	2	2	3	28	0	0	0	0	2	0	1	0	0	1	0	0	0	0	2	0	7	0	3	7	42	3	0	0	5
ZOTU171	0	0	0	0	0	0	0	0	0	0	56	31	57	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	13	6	11	35
ZOTU124	0	0	0	0	0	0	0	0	0	0	19	42	26	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	69	25	19	14	183
ZOTU186	0	0	0	0	0	0	0	0	0	0	4	2	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	36	73	42	6	10	39
ZOTU403	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	6	4	15	1	2	3	8
ZOTU227	0	0	0	0	0	0	0	0	0	0	2	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	36	3	95	2	2	0	4
ZOTU233	0	0	0	0	0	0	0	0	0	0	10	8	11	76	0	1	2	3	0	1	0	3	2	1	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0
ZOTU294	0	0	0	0	0	0	0	0	0	0	9	0	3	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	7	14	97	5	1	7	12
ZOTU299	0	0	0	0	0	0	0	0	0	0	9	2	10	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ZOTU196	0	0	0	0	0	0	0	0	0	0	4	10	6	88	0	0	0	0	0	0	0	0	0	0	23	0	21	1	12	4	22	6	2	1	11	3	4	0	12
ZOTU302	0	0	0	0	0	0	0	0	0	0	9	14	2	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5
ZOTU365	0	0	0	0	0	0	0	0	0	0	7	0	0	23	0	0	0	1	0	0	0	0	1	0	0	0	0	1	5	0	3	0	0	0	0	0	0	0	0
ZOTU193	0	0	0	0	0	0	0	0	0	0	12	11	18	123	0	0	0	0	0	0	0	0	0	1	5	0	5	0	0	0	5	0	0	2	5	1	3	0	41
ZOTU464	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	3	3	1	0	4
ZOTU128	0	0	0	0	0	0	0	0	0	0	3	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU368	0	0	0	0	0	0	0	0	0	0	2	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	15	1	1	1	6
ZOTU208	0	0	0	0	0	0	0	0	0	0	4	10	9	34	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	2	2	3	44	7	17	6	42
ZOTU238	0	0	0	0	0	0	0	0	0	0	3	3	2	25	0	0	0	0	0	0	0	0	0	1	2	0	5	2	5	6	13	0	9	4	29	4	3	6	38
ZOTU284	0	0	0	0	0	0	0	0	0	0	1	4	9	28	1	1	0	0	0	0	0	0	0	0	5	0	10	1	1	0	4	0	0	2	0	0	4	0	22
ZOTU427	0	0	0	0	0	0	0	0	0	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1
ZOTU316	0	0	0	0	0	0	0	0	0	0	1	0	1	15	0	0	1	0	0	0	3	2	7	0	0	0	1	0	0	0	3	1	1	2	38	5	3	3	12
ZOTU379	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	32	0	0	0	0
ZOTU352	0	0	0	0	0	0	0	0	0	0	1	3	2	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	8
ZOTU490	0	0	0	0	0	0	0	0	0	0	2	6	3	10	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	3	1	3	4
ZOTU172	0	0	0	0	0	0	0	0	0	0	5	0	3	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	3	18	111	17	10	6	47
ZOTU148	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6	11	23	166	7	6	9	168
ZOTU301	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	8	19	7	3	1	7
ZOTU337	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0
ZOTU473	0	0	0	0	0	0	0	0	0	0	1	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0
ZOTU433	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	2	2	0	5	0	0	4	0	1	0	2	1	2	0	0	0	0	0	2	0	0	0	1
ZOTU201	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ZOTU156	0	0	0	0	0	0	0	0	0	0	1	2	5	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	9	4	22	15	73	29	25	22	87
ZOTU313	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	15	2	3	1	12
ZOTU346	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	1	22	4	0	2	7
ZOTU244	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ZOTU86	0	0	0	0	0	0	0	0	0	0	0	8	6	19	0	0	0	0	2	0	0	0	10	8	0	0	0	0	0	0	0	18	49	25	214	51	35	61	174
ZOTU118	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	1	1	1	0	3	0	1	0	2	0	0	0	4	2	0	0	3
ZOTU423	0	0	0	0	0	0	0	0	0	0	0	1	0	4	5	0	0	0	5	0	6	0	12	10	0	0	0	0	0	0	0	0	3	2	23	0	0	0	0
ZOTU508	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	2	2
ZOTU470	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	0	0	0	0	0	0	2	1	6	0	0	0	14	0	0	0	15	0	0	0	0
ZOTU330	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	8	14	4	48
ZOTU318	0	0	0	0	0	0	0	0	0	0	0	4	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	1	3	1	2
ZOTU399	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	11	0	4	0	6
ZOTU144	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0
ZOTU140	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	5	0	0	2	6
ZOTU370	0	0	0	0	0	0	0	0	0	0	0	2	5	23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU323	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	8	30	2	4	1	15
ZOTU397	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	1	0	4	0	5	0	0	1	0	0	6	0	0	0	3
ZOTU210	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	3	19	1	51	9	19	7	72	0	0	0	0	0	0	0	0
ZOTU250	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	20	50	1	3	1	16
ZOTU462	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	1	0	4	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1
ZOTU266	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	56	0	0	4	17
ZOTU439	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	1	2	8	3	0	2	0
ZOTU486	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	5
ZOTU326	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ZOTU360	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	8	0	2	0	0
ZOTU147	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	0	0	1	4	3	0	0	0	0	0	0	0	0	0	2	5	2	1	0	1
ZOTU331	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ZOTU335	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	1	59	1	3	2	5
ZOTU430	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	15	1	2	1	7
ZOTU432	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU527	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0
ZOTU359	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	9	31	0	0	0	0
ZOTU198	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	12	0	30	184	5	3	9	32
ZOTU434	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0	1	0	1	2	0	0	0	0	0	0	0	0	2
ZOTU477	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	3	9	0	0	0	0	0	0	3	0	0	1	11	0	0	0	3
ZOTU408	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU229	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ZOTU480	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	8	0	0	2	2
ZOTU247	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU206	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	18	160	3	1	4	16
ZOTU385	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	0	2	1	1
ZOTU500	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	0	0
ZOTU466	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU130	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU237	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	6	3	9	5	42	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ZOTU216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	16	7	1	5	3	8	1	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
