	COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkc16S	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1c16S	SVERCc1	SVERCc2c16S	SVERCc2	SVERCc3c16S	SVERCc3	SVERCcbulkc16S	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
ZOTU475	2	11	6	6	7	4	10	6	9	15	0	0	0	0	6	4	3	15	13	5	14	9	6	8	6	2	27	4	18	5	34	0	0	0	0	7	3	1	3
ZOTU74	8	120	74	50	71	73	39	24	50	23	0	2	0	1	24	8	8	11	15	9	13	25	48	30	29	0	94	7	44	1	41	17	2	14	10	41	38	24	33
ZOTU43	15	4	7	1	4	5	5	5	45	33	0	2	0	1	1	3	6	1	3	6	2	0	10	15	631	8	941	39	339	41	452	0	0	0	0	0	0	0	0
ZOTU240	1	5	1	1	4	3	4	7	28	21	0	0	0	0	7	1	3	4	3	3	2	6	27	1	7	0	0	4	1	0	10	0	0	0	0	0	0	0	0
ZOTU152	3	0	2	1	0	0	1	0	5	7	0	1	2	6	0	0	7	1	6	12	2	2	20	4	46	1	53	5	53	4	51	0	0	0	1	1	2	1	29
ZOTU281	1	3	1	1	6	3	0	0	0	30	4	2	1	17	0	0	0	1	1	2	1	0	3	0	7	0	6	0	1	0	0	0	0	1	13	1	2	0	2
ZOTU203	5	17	8	8	21	30	14	13	8	32	2	8	4	30	0	0	0	1	0	1	0	5	17	3	12	0	3	2	5	0	7	8	0	10	6	9	0	2	12
ZOTU155	1	2	1	0	0	8	3	5	4	30	1	5	2	16	8	8	33	12	11	18	6	13	120	77	20	0	40	2	30	5	22	0	0	2	18	4	3	1	4
ZOTU173	2	3	4	0	0	1	0	0	15	27	2	1	0	0	2	2	2	0	0	1	2	0	11	8	0	0	4	0	3	1	4	0	2	0	1	0	0	0	2
ZOTU298	1	0	0	0	1	3	0	5	3	4	0	0	0	0	1	0	1	2	2	0	1	0	4	8	1	0	4	0	0	0	0	0	0	0	3	0	0	0	1
ZOTU80	2	3	2	0	0	8	2	0	20	26	0	0	0	1	0	0	0	0	0	0	0	0	4	1	39	0	84	6	63	10	40	0	0	0	0	0	0	0	1
ZOTU221	1	4	3	2	1	2	3	5	19	16	0	0	1	1	6	8	0	2	4	1	1	1	13	16	20	0	52	3	55	7	28	0	0	1	2	0	0	0	2
ZOTU105	4	14	9	0	4	4	12	2	21	51	1	3	0	5	9	8	4	2	4	6	5	1	51	19	87	1	85	4	101	21	97	1	0	2	31	0	0	2	2
