otu,fert
OTU_dn_1409,no fertilization
JN178774.1.1501,no fertilization
HQ397503.1.1452,no fertilization
EF018545.1.1385,synthetic
GQ396960.1.1456,synthetic
AJ252633.1.1373,synthetic
AB180734.1.1509,synthetic
EU133298.1.1325,synthetic
AB179513.1.1495,synthetic
GQ129886.1.1458,synthetic
AF414588.1.1229,synthetic
AY162048.1.1340,synthetic
OTU_dn_293,synthetic
AJ518767.1.1242,synthetic
EF516705.1.1469,synthetic
HM921139.1.1346,synthetic
FQ659369.2.1375,synthetic
EF018181.1.1334,synthetic
EF020230.1.1332,synthetic
JQ684175.1.1417,synthetic
KU515263.1.1446,synthetic
KJ600967.1.1516,synthetic
FR872466.1.1421,synthetic
HM447715.1.1442,synthetic
AY425762.1.1402,synthetic
EF018609.1.1388,synthetic
GQ263721.1.1478,synthetic
GDIQ01062780.115.1567,synthetic
AM292627.1.1243,synthetic
GQ389035.1.1506,synthetic
HM269972.1.1376,synthetic
GQ500742.1.1473,synthetic
KF697405.1.1227,synthetic
JQ978526.1.1507,synthetic
KF712648.1.1463,synthetic
OTU_dn_7370,synthetic
EU665132.1.1396,synthetic
HE974848.1.1289,synthetic
OTU_dn_100,synthetic
EU449593.1.1471,synthetic
JN023931.1.1489,synthetic
EF018640.1.1318,synthetic
EF019628.1.1371,synthetic
EU134333.1.1376,synthetic
EU881328.1.1511,synthetic
FN811209.1.1508,synthetic
HM269183.1.1357,synthetic
EU133410.1.1299,synthetic
EU589314.1.1511,synthetic
FM866286.1.1399,synthetic
GU359101.1.1467,synthetic
EF516132.1.1402,synthetic
AB636982.1.1492,synthetic
JX515503.1.1448,synthetic
GQ264178.1.1424,synthetic
JN037972.1.1518,synthetic
HE589827.1.1405,synthetic
JN023235.1.1437,synthetic
HM319660.1.1356,synthetic
LN567309.1.1300,synthetic
JF135705.1.1377,synthetic
HQ114112.1.1402,synthetic
JN003107.1.1246,synthetic
GX154060.1.1515,synthetic
HM337324.1.1339,synthetic
OTU_dn_1061,synthetic
FR687572.1.1451,synthetic
HM263504.1.1301,synthetic
OTU_dn_8103,synthetic
JQ318921.1.1388,synthetic
FM200902.1.1416,synthetic
AB529689.1.1478,synthetic
KC172291.1.1555,synthetic
AB220072.1.1364,synthetic
AB179523.1.1502,synthetic
HQ622736.1.1513,synthetic
AM162403.1.1420,synthetic
OTU_dn_45,synthetic
OTU_dn_8370,synthetic
EF020258.1.1328,synthetic
HM037903.1.1405,synthetic
OTU_dn_332,synthetic
