OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1569,Fungi,,,,,,
OTU1568,Fungi,,,,,,
OTU1561,Fungi,Chytridiomycota,,,,,
OTU1560,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora sp 
OTU1563,Fungi,,,,,,
OTU1562,Fungi,,,,,,
OTU1565,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus longistriatus
OTU1564,Fungi,Ascomycota,Eurotiomycetes,,,,
OTU1567,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
OTU1566,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
OTU927,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,
OTU926,Fungi,,,,,,
OTU664,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,
OTU665,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
OTU1189,Fungi,Ascomycota,,,,,
OTU1188,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Glarea,Glarea lozoyensis
OTU1187,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Hypholoma capnoides
OTU1186,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,
OTU1185,Fungi,Ascomycota,,,,,
OTU1184,Fungi,,,,,,
OTU1183,Fungi,,,,,,
OTU1182,Fungi,Basidiomycota,Agaricomycetes,,,,
OTU1181,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta canina
OTU1180,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma terrea
OTU1341,Fungi,,,,,,
OTU1340,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma vindobonense
OTU1343,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis romagnesiana
OTU1342,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
