file_name	sample_name	bean	state	plot	soil	seq_run	site	fertilization	rotation	irrigation	atmp_max	atmp_min	mstr0_max	mstr0_min	pcpn	relh_max	relh_min	rpet	soil0_max	soil0_min	16S_Qubit	ITS_Qubit	location	Lat	Long	date	pH	P	K	Ca	Mg	OM	NO3	NH4	Nitrogen
COc77203	CO_77203	CELRK	CO	1	rhizosphere	1	CO	manure	corn	irrigation											13.6	47	Fort_Collins_CO	40.574384	-105.07414	08.03.17	7.8	27	253	4080	474	1.6	20.4	2.7	0.1
COc77206	CO_77206	Eclipse	CO	1	rhizosphere	1	CO	manure	corn	irrigation											21.8	53.4	Fort_Collins_CO	40.574384	-105.07414	08.03.17	7.8	20	248	4190	502	1.5	19.3	1.1	0.1
COc77229	CO_77229	Eclipse	CO	2	rhizosphere	1	CO	manure	corn	irrigation											13	34.4	Fort_Collins_CO	40.574384	-105.07414	08.03.17	8.2	23	282	4292	524	1.8	13.2	1.2	0.11
COc77230	CO_77230	CELRK	CO	2	rhizosphere	1	CO	manure	corn	irrigation											22.2	33.2	Fort_Collins_CO	40.574384	-105.07414	08.03.17	8.2	24	288	4378	532	1.6	6.4	2.4	0.11
COc77243	CO_77243	CELRK	CO	3	rhizosphere	1	CO	manure	corn	irrigation											21.6	47.8	Fort_Collins_CO	40.574384	-105.07414	08.03.17	7.9	24	292	4302	512	1.6	14.3	1.6	0.11
COc77256	CO_77256	Eclipse	CO	3	rhizosphere	1	CO	manure	corn	irrigation											13.5	58.2	Fort_Collins_CO	40.574384	-105.07414	08.03.17	8	24	291	4308	518	1.6	4.9	1.2	0.11
COc77265	CO_77265	CELRK	CO	4	rhizosphere	1	CO	manure	corn	irrigation											22.6	52	Fort_Collins_CO	40.574384	-105.07414	08.03.17	8.2	24	343	4330	540	1.9	6	1.6	0.11
COc77268	CO_77268	Eclipse	CO	4	rhizosphere	1	CO	manure	corn	irrigation											24.2	9.02	Fort_Collins_CO	40.574384	-105.07414	08.03.17	8.3	22	316	4308	526	1.9	4.7	2.6	0.11
COcCcbulk	CO_C	CELRK	CO		bulk	2	CO	manure	corn	irrigation													Fort_Collins_CO	40.574384	-105.07414	08.03.17	8	24	291	4308	518	1.6	4.9	1.2	0.11
COcEcbulk	CO_E	Eclipse	CO		bulk	2	CO	manure	corn	irrigation													Fort_Collins_CO	40.574384	-105.07414	08.03.17	8.3	22	316	4308	526	1.9	4.7	2.6	0.11
MRFc1	MRF_1	Eclipse	MI	1	rhizosphere	1	MRF	synthetic		irrigation	22	9.4	0.131	0.118	2.88	97.50%	45.50%	3.5	18.7	14.7	29.2	49	Montcalm_MI	42.701714	-84.482354	07.21.17	5.9	163	122	684	110	2.1	30.3	1	0.09
MRFc2	MRF_2	Eclipse	MI	2	rhizosphere	1	MRF	synthetic		irrigation	22	9.4	0.131	0.118	2.88	97.50%	45.50%	3.5	18.7	14.7	29.4	51.2	Montcalm_MI	42.701714	-84.482354	07.21.17	6.3	163	117	750	118	2.2	37.7	0.7	0.11
MRFc3	MRF_3	Eclipse	MI	3	rhizosphere	1	MRF	synthetic		irrigation	22	9.4	0.131	0.118	2.88	97.50%	45.50%	3.5	18.7	14.7	24.2	56	Montcalm_MI	42.701714	-84.482354	07.21.17	5.4	168	137	539	94	2.1	64	1.5	0.1
MRFcbulkcITS	MRF_bulk	Eclipse	MI		bulk	2	MRF	synthetic		irrigation													Montcalm_MI	42.701714	-84.482354	07.21.17	5.4	168	137	539	94	2.1	64	1.5	0.1
