COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkcITS	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1cITS	SVERCc1	SVERCc2cITS	SVERCc2	SVERCc3cITS	SVERCc3	SVERCcbulkcITS	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
OTU650	3	0	7	0	2	2	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU309	2	3	77	2	5	2	9	0	32	4	0	0	0	0	12	0	0	0	1	0	1	3	8	4	0	4	17	3	0	13	20	0	0	0	0	0	0	0	0
OTU674	2	3	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1624	2	0	1	1	1	0	0	88	0	5	72	99	480	7024	5	0	0	0	0	0	65	0	346	33	0	0	0	0	0	0	16	1911	15804	1544	11189	1163	1386	6378	9186
OTU142	1	2	8	2	1	2	3	3	9	25	0	0	0	0	8	5	5	17	3	8	130	12	123	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1045	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1711	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU330	3	5	3	0	0	15	0	3	0	0	1	4	0	0	27	13	1	1	2	0	7	3	0	0	0	0	0	0	0	0	0	2	6	5	0	5	14	12	0
OTU932	2	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU131	2	56	12	0	0	3	5	7	53	79	0	0	0	0	0	0	0	26	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1286	2	0	0	1	1	4	0	14	45	26	0	0	0	0	36	28	7	22	41	54	24	37	249	244	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU1444	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1189	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU30	1	0	0	0	0	0	0	6	0	0	153	0	32	2986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	199	1255	253	309	17	20	14	1267
OTU741	1	0	0	0	2	2	2	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU105	4	0	0	0	0	0	0	0	0	0	521	2	9	344	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU33	2	0	0	0	0	0	0	0	0	0	488	206	344	4463	3	0	2	0	0	0	0	0	20	19	16	10	28	0	0	10	6	2	2	3	1	0	2	2	1
OTU1085	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU224	1	4	2	0	0	0	0	4	65	6	0	0	0	0	1	0	0	0	0	2	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU387	1	8	0	0	1	3	2	2	20	1	0	0	0	0	0	5	4	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU923	6	2	1	2	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU744	4	9	1	0	1	1	4	5	17	18	326	360	163	2247	351	154	129	931	5458	139	205	1926	3242	1849	5639	869	12220	1749	6465	2318	14723	0	0	3	3	0	5	0	3
OTU809	3	0	10	0	2	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU706	1	1	11	0	5	8	5	2	3	77	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU641	1	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU56	2	0	0	0	0	0	0	0	0	0	93	64	198	2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU808	2	0	14	4	1	0	0	2	0	1	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU394	2	0	0	9	0	0	0	0	2	17	0	0	0	0	0	4	0	0	0	0	4	3	40	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU149	1	0	2	0	0	0	0	0	9	3	0	0	0	0	5	18	4	9	5	14	27	23	197	88	0	0	0	0	0	0	0	0	1	2	11	3	1	10	65
OTU39	1	1	0	0	0	1	0	0	0	0	202	65	155	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	107	166	358	59	133	646	1021
OTU414	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
OTU127	2	2	2	0	0	0	7	0	11	13	0	0	0	0	13	0	14	0	2	20	11	0	316	92	34	5	138	0	0	19	35	0	0	0	0	0	0	0	0
OTU761	3	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU214	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	203	1	102	0	0	0	0	0	0	0	1
OTU348	2	1	3	4	0	3	0	1	0	0	0	0	0	0	3	0	0	1	0	0	2	0	6	0	0	1	81	2	0	2	1	0	0	0	5	3	0	0	1
OTU326	2	0	0	4	1	2	0	1	9	11	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	54	0	0	0	0	0	12	0	0	0	0
OTU948	1	5	0	0	3	2	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU1086	1	0	6	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU553	1	0	0	0	0	0	0	0	0	3	0	0	0	0	12	0	2	0	2	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1565	0	8	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU24	0	2	0	0	0	0	0	0	0	0	8	2	2	124	0	0	2	6229	0	0	6	0	668	0	0	0	0	0	0	2	55	0	1	0	0	0	1	0	0
OTU158	0	157	0	0	5	15	7	0	32	0	0	0	0	0	24	9	3	6	2	7	8	10	277	248	0	0	41	0	0	29	0	0	0	0	0	0	0	0	0
OTU1154	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU237	0	18	0	0	0	0	5	1	16	27	0	3	1	12	3	2	0	0	0	4	0	0	0	0	0	11	0	4	0	0	77	6	31	4	22	15	4	2	26
OTU144	0	39	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	566	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU781	0	3	1	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU429	0	32	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	6	0	0	0	0	0	0	0	0	0	0
OTU50	0	201	0	0	0	37	0	0	0	0	0	0	0	0	0	29	0	0	0	0	20	0	3	23	278	70	1214	67	1411	508	118	0	0	0	0	0	1	0	0
OTU1449	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU556	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	2	1	4	1	7	24	0	0	0	2	0	6	8	0	0	0	0	0	0	0	0
OTU1283	0	9	0	0	0	0	0	0	0	9	0	0	0	24	1	0	0	0	0	3	0	0	3	0	0	1	0	0	0	0	35	2	0	0	0	0	3	0	4
OTU457	0	39	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU388	0	56	0	0	13	3	0	0	2	11	0	0	0	0	0	0	0	0	0	0	51	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU130	0	1	0	4	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	3	6	312	2	190	32
OTU1371	0	13	0	0	0	0	0	0	0	5	12	4	5	120	9	10	3	19	6	236	23	50	176	120	219	78	1042	83	1146	250	1115	6	25	12	62	17	11	7	166
OTU528	0	4	0	0	1	3	7	0	2	6	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	6	11	1	23	6	3	0	0	0	0	0	0	0	0
OTU691	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU221	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	235	0	10	6	0	10	31	0	0	0	0	0	0	0	0
OTU576	0	6	0	0	0	1	0	0	15	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU164	0	45	0	0	3	10	1	2	20	14	0	0	0	0	0	0	2	0	0	16	0	3	33	28	13	3	353	8	137	5	7	0	0	0	0	0	0	0	2
OTU1033	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1012	0	6	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1710	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU985	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU380	0	22	0	3	28	14	1	0	28	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	5	0	0	6	0	2	0	0	0	0
OTU526	0	5	7	0	0	1	7	0	4	11	0	0	0	0	17	6	2	0	0	2	0	1	20	11	0	1	0	0	0	10	12	0	0	0	0	0	0	0	0
OTU564	0	6	0	0	0	1	2	0	7	14	0	0	0	0	0	0	2	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU435	0	38	79	0	0	0	16	12	113	11	0	1	0	1	251	3	9	177	0	5	37	6	1798	4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU887	0	9	45	0	0	0	317	0	103	79	0	0	0	0	2	4	3	0	0	27	0	4	6	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU294	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	114	0	0	40	15	0	0	0	0	0	0	0	0
OTU785	0	3	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU217	0	14	1	0	0	0	0	0	0	5	0	0	0	11	7	0	0	1	0	0	0	1	49	40	0	0	0	5	0	0	0	0	4	0	19	9	17	2	104
OTU692	0	10	1	1	0	9	2	5	22	13	0	0	0	0	3	0	2	1	4	9	15	12	46	17	0	0	0	0	0	9	2	0	1	4	22	5	1	6	5
OTU754	0	19	0	0	0	1	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11	0	17	7	3	0	14	1	2	14	18	2	38	3	28	471	645	42	53	41	143	260	41	2665	4060	128	129	0	85	1070	9	169	6	20	611	5528	173	140	78	11613
OTU306	0	11	24	4	6	35	12	1	40	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU552	0	6	0	0	0	0	4	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU567	0	1	2	0	5	0	0	4	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU138	0	12	0	0	0	1	0	0	10	18	1	0	0	3	4	1	0	0	0	1	0	0	0	0	0	0	0	6	474	2	2	0	0	0	0	0	0	0	0
OTU791	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1488	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU510	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	2	3	0	1	2	5	1	71	14	2	0	0	0	0	0	0	0	0	0	2	1	0	0	1
OTU264	0	6	0	0	5	141	3	15	35	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	5	119	1	16	6	49	0	0	0	0	0	0	0	0
OTU1270	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	6
OTU626	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU315	0	1	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	62	0	0	0	45	0	0	0	0	0	0	0	0	0	0
OTU826	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1218	0	12	3	3	3	5	0	2	12	4	10	15	10	87	25	47	23	94	39	176	155	88	578	418	305	95	867	117	467	166	1428	4	13	80	83	28	28	35	420
OTU1083	0	3	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU495	0	46	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU413	0	13	4	0	0	6	0	0	43	53	0	0	0	0	0	8	0	0	1	4	1	2	17	24	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0
OTU630	0	4	0	0	2	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	1	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1662	0	4	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1439	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1295	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU22	0	5	0	0	0	0	0	65	0	2	726	10	86	7682	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	2	69	10	5	19	20	85	5	943
OTU1170	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1079	0	6	1	1	0	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU61	0	2	26	13	0	0	0	0	0	1	0	16	0	4	110	43	21	5	54	173	75	48	980	999	144	0	0	0	0	26	2	34	356	363	304	127	155	89	3089
OTU96	0	1	0	0	0	1	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	1	0	0	120	2	662	4	318	103	92	0	0	0	0	0	0	0	0
OTU1004	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4
OTU379	0	9	0	0	3	10	8	0	30	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	30	0	1	0	13
OTU271	0	1	0	1	0	0	0	0	13	1	3	0	0	146	0	0	0	0	0	0	0	0	0	0	59	13	39	9	113	9	167	0	2	0	2	1	1	4	7
OTU1169	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU166	0	3	184	0	6	0	0	42	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	14	0	23	29	0	0	0	0	0	0	0	0	0
OTU219	0	2	0	1	3	3	1	0	47	0	0	0	0	0	48	1	0	0	0	0	15	7	55	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1042	0	3	2	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU401	0	8	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	14	0	3	2	1	13	17	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
OTU1637	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU106	0	2	0	0	0	9	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	809	0	0	160	11	0	0	0	0	0	1	0	0
OTU1036	0	2	0	0	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU389	0	2	7	0	1	4	1	2	0	7	1	1	2	0	10	12	5	0	2	0	0	2	0	11	0	1	0	2	0	0	0	1	2	3	0	5	6	7	0
OTU34	0	1	0	0	3	0	0	0	13	0	0	0	0	0	0	1	1	2	7	0	31	1	1732	4690	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU493	0	2	0	0	0	0	0	0	0	0	0	11	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU344	0	2	0	0	0	0	6	0	9	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	112	2	0	6	0	0	19	0	0	0	0	0	0	0	0
OTU905	0	3	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
OTU934	0	1	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0
OTU618	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	5	0	0	2	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU946	0	3	2	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU470	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	39	0	21	0	10	0	0	0	0	0	0	0	0	0	0	0	0
OTU770	0	1	0	0	0	1	1	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1047	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU463	0	1	3	0	0	0	4	0	6	9	0	0	0	0	17	1	0	0	6	0	0	0	4	0	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0
OTU490	0	3	0	0	2	19	7	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1225	0	2	0	2	0	0	1	0	2	6	0	0	0	0	0	10	0	0	0	0	0	6	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU408	0	2	0	0	0	2	0	0	9	68	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1567	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1364	0	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU765	0	1	0	0	0	4	1	0	4	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1002	0	2	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU376	0	2	3	0	3	2	3	0	2	2	0	0	0	0	0	6	0	0	0	0	0	0	1	0	6	0	0	0	100	0	3	0	0	0	1	0	0	0	0
OTU1025	0	1	0	0	3	0	3	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU313	0	0	34	0	0	5	1	0	25	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU246	0	0	93	0	0	0	0	0	37	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU908	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU427	0	0	50	0	0	5	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU58	0	0	19	4	0	0	1	1	0	0	0	0	0	0	0	46	5	0	31	48	1	0	117	13	0	0	0	0	0	0	2	18	120	128	451	115	94	236	1570
OTU336	0	0	4	1	0	52	10	0	31	39	0	0	0	0	0	0	0	0	0	0	0	4	38	0	0	11	0	3	0	21	9	0	0	0	0	0	0	0	0
OTU126	0	0	4	9	5	54	0	668	135	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	5	1	0
OTU1440	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU128	0	0	2	0	0	0	0	0	51	0	89	91	50	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU207	0	0	6	11	0	39	0	13	163	46	0	0	0	0	0	0	0	3	0	0	0	7	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1242	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU694	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU883	0	0	1	0	0	0	2	0	0	0	0	0	0	4	1	0	0	0	1	2	5	1	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU816	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1068	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU902	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU505	0	0	16	2	0	11	9	2	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU561	0	0	8	0	0	25	0	0	0	0	0	0	0	0	2	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU848	0	0	3	3	2	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU276	0	0	2	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	7	0	0	1	9	12	15	7	26	15	132
OTU284	0	0	3	13	0	0	0	0	2	0	0	0	0	0	0	18	0	2	0	4	0	0	0	33	0	0	0	13	64	1	0	0	0	0	0	0	0	0	0
OTU939	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1206	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU363	0	0	6	0	3	4	2	0	9	10	0	0	0	0	0	1	0	4	3	3	4	5	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU148	0	0	1	0	5	2	1	2	0	34	0	0	0	0	4	2	0	0	0	4	0	0	29	2	98	0	326	0	1	97	0	0	0	0	0	0	1	0	0
OTU1000	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1114	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0
OTU1011	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1538	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU539	0	0	1	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	0	1	0	4	10	0	0	1	0	8	0	0	0	0	0	0	0	1	0	0	0
OTU1306	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU59	0	0	0	2517	0	0	0	0	35	0	0	0	0	14	0	0	0	0	0	0	0	0	0	7	38	18	261	5	105	147	275	0	0	0	0	0	0	2	0
