COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkcITS	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1cITS	SVERCc1	SVERCc2cITS	SVERCc2	SVERCc3cITS	SVERCc3	SVERCcbulkcITS	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
OTU1159	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1500	5	295	163	283	3508	46	957	527	873	154	0	0	0	0	13	4	35	160	7	0	3	18	0	2436	1948	649	460	1411	991	155	625	29	4	0	2	0	2	0	1
OTU299	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU12	15	0	0	0	0	0	0	1	0	0	0	0	3689	10993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1
OTU365	83	62	105	34	44	221	58	37	403	239	0	0	0	0	58	63	22	10	19	11	5	4	235	57	1394	181	2392	146	1554	684	904	5	3	0	21	0	0	7	0
OTU47	64	42	37	23	10	26	16	17	143	171	0	0	0	0	10	2	2	5	3	9	4	28	54	81	344	66	813	92	633	87	450	0	21	13	16	18	42	41	190
OTU18	7	6	0	0	0	0	0	0	0	8	5	4	16	206	0	0	7	0	0	0	0	0	2	0	1	7	304	68	9350	1	62	0	0	0	0	0	0	0	0
OTU216	50	0	0	66	0	0	0	0	107	3	0	0	0	0	3	13	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1441	332	253	151	147	104	233	750	341	362	616	0	0	0	5	6	45	2	15	9	17	26	26	73	155	0	0	0	0	0	0	7	23	2	0	5	0	0	1	6
OTU431	4	7	0	8	3	12	21	4	29	30	0	0	0	0	2	0	2	0	1	25	7	9	22	4	0	20	0	8	0	9	5	0	0	0	0	0	0	0	0
OTU21	243	382	142	140	1623	204	433	2320	2898	1386	69	25	17	592	301	203	42	46	52	142	236	87	724	840	205	45	74	14	5	53	333	126	1062	493	1015	83	164	731	2181
OTU29	25	0	2819	0	4	13	281	43	259	148	12	0	859	0	0	35	12	80	33	158	51	89	1654	106	0	0	0	0	200	0	0	4	0	0	0	6	11	13	11
OTU178	25	178	8	10	2	22	2	2	4	34	0	0	0	0	0	4	1	0	0	0	1	12	1	0	44	0	0	0	0	0	9	0	0	0	4	0	0	0	0
OTU233	84	4	15	18	10	20	1	3	65	119	0	0	0	0	1	26	1	0	5	0	2	17	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1180	3	1	0	1	0	0	0	8	1	0	359	187	224	1723	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	236	687	1004	3716	309	339	296	2887
OTU1226	203	34	27	61	10	17	19	7	147	203	0	0	0	0	64	30	6	27	20	37	15	8	137	184	1743	157	1152	195	816	188	822	2	0	2	0	12	2	6	0
OTU1537	222	131	50	1324	124	1677	164	709	468	604	3	6	1	81	169	0	18	1	0	1	5	8	577	222	444	324	1130	68	455	145	930	76	34	306	74	1161	202	190	279
OTU1418	196	266	173	359	222	278	179	317	3053	2747	307	283	147	7076	940	867	229	887	544	1209	1020	877	10587	6588	8005	2058	9641	1853	6670	2569	13874	29	108	272	226	13	56	10	322
OTU46	9	0	0	0	0	0	0	2	0	0	4	159	3587	374	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	41	113	2757
OTU707	2	0	0	0	0	3	0	1	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU79	103	0	145	37	0	0	167	3	1598	274	0	0	0	0	0	0	0	0	0	0	27	0	0	1	0	0	0	0	0	0	0	67	6	0	1314	0	0	0	0
