OTU	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900
OTU_dn_3618	0	0	0	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_5988	0	0	0	2	1	0	0	0	3	0	0	1	0	4	0	1	1	3	2	1	0	0	0	1	0	2	0	0	0	0	0	0	1	3	0	1
KF631220.1.1439	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
KF712708.1.1524	0	0	0	1	0	2	0	1	1	0	0	2	1	0	0	0	0	0	3	0	1	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0
EU132294.1.1358	0	0	0	4	1	4	2	1	3	1	0	2	0	2	1	0	1	0	3	0	0	0	0	0	0	1	3	3	0	1	2	1	0	3	2	3
GQ402640.1.1456	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	2	4	2	1
OTU_dn_6120	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	4	2	1	0	1	0	0	0	0	0	0	2	3	4
OTU_dn_6250	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	0
OTU_dn_2390	0	0	0	1	1	0	2	0	1	0	0	2	1	2	1	2	3	0	1	1	2	0	0	0	0	3	4	0	0	0	3	1	0	0	0	0
GQ263117.1.1466	0	0	0	1	2	2	0	2	1	0	7	2	2	1	1	0	6	2	2	0	0	3	0	4	2	3	3	1	1	6	5	2	5	2	0	2
OTU_dn_5071	0	0	0	1	1	0	1	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	4	0	0	0	1	0	1	0	0	0	0	1	1	1
OTU_dn_4694	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
