OTU	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900
GQ140335.1.1422	391	109	112	494	205	148	131	104	106	142	115	87	92	92	72	65	190	123	69	108	264	103	143	266	259	188	220	532	306	189	95	96	55	27	19	40
FM865977.1.1415	304	71	167	712	49	365	214	126	51	103	60	15	61	17	32	19	38	452	24	18	92	43	59	294	17	41	68	28	198	8	18	14	0	0	0	0
GQ263725.1.1464	486	781	3467	798	713	1003	578	1247	377	1004	162	2120	495	209	168	211	140	702	485	1560	611	324	597	1041	894	991	776	480	304	115	1363	383	0	0	0	8
HF678384.1.1265	7236	5481	21533	6683	5985	8390	4908	17152	10553	12750	5766	7207	5072	5360	6294	5694	8177	14184	9586	5235	10361	12435	5408	8096	11990	18649	9397	8096	16012	6680	20509	9834	6	7	8	11
HQ686141.1.1218	559	3	0	4	1	103	46	3	0	0	7	0	2	0	0	4	1	69	22	370	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0
LC018993.1.1498	3027	2	26	1205	86	0	44	33	4	60	0	1	202	2	1	11	0	75	0	0	0	1	0	1	0	0	3	4	4	0	2	73	0	0	1	0
JQ318861.1.1470	6	29	5	7	11	8	14	2	6	8	4	14	10	9	10	4	8	7	8	4	2	6	11	6	2	7	11	15	2	3	7	6	5	6	4	9
GU550579.1.1244	40	65	68	31	57	223	92	77	111	121	320	184	111	94	169	131	265	77	133	88	177	103	97	195	180	295	260	119	584	550	203	123	8	6	4	16
CP001619.4611730.4613224	26	25	131	33	36	49	30	42	16	29	9	63	17	2	5	22	1	21	19	66	24	7	38	42	53	35	17	15	11	6	38	17	0	0	0	0
KJ600845.1.1416	4	2	1	4	0	0	0	1	1	1	0	0	3	3	4	1	1	0	0	0	3	5	2	0	1	4	2	0	1	0	5	2	14	5	7	7
OTU_dn_135	3	8	2	16	7	4	6	6	4	9	11	19	15	12	14	4	5	5	12	9	13	6	5	7	3	15	17	33	12	1	12	16	18	28	5	20
AB681047.1.1452	334	6	377	569	53	8	74	10	94	139	1	6	132	0	2	0	1	212	5	3	0	4	1	1	1	2	1	108	8	16	15	109	22	0	0	0
HM131972.1.1456	5	3	8	7	0	1	2	0	0	3	5	1	3	4	3	0	2	3	0	1	3	3	5	0	4	10	5	0	0	4	8	0	12	10	3	8
OTU_dn_337	104	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
KJ877475.1.1353	233	131	186	241	2	199	47	161	3	89	82	27	71	8	14	11	24	254	7	9	48	9	112	25	39	16	101	45	53	12	11	2	3	0	2	2
HG423553.1.1283	304	355	508	298	138	723	437	353	298	416	240	243	267	118	111	240	125	299	255	311	222	111	531	461	764	438	281	338	129	142	29	450	8	3	2	6
OTU_dn_670	16	11	15	34	11	30	21	8	30	15	11	16	21	24	11	10	22	13	22	23	18	16	5	12	10	5	21	8	10	7	19	12	11	19	12	14
HQ906958.1.1385	180	745	511	211	470	1347	930	500	1577	743	1528	2379	718	931	1168	1540	1404	446	1413	2411	1973	1832	1569	1438	1412	1606	2427	1483	2321	1222	1974	1379	18	13	10	18
OTU_dn_1405	45	28	10	16	0	6	5	8	1	8	24	7	17	9	14	11	9	16	10	3	9	3	14	8	25	10	16	15	8	15	5	3	7	6	4	10
OTU_dn_3925	13	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0
LM994064.1.1410	211	697	216	359	362	530	474	242	345	480	362	470	608	305	337	200	395	327	385	376	388	267	637	378	487	332	445	760	376	369	211	331	278	246	160	280
FR753119.1.1437	159	98	233	160	119	164	85	264	170	218	84	116	106	100	122	105	113	233	134	115	164	166	111	121	122	212	146	75	193	56	246	140	0	0	0	0
JX827227.1.1309	534	146	191	612	448	395	353	144	170	212	281	430	261	155	175	137	275	161	121	216	395	252	415	509	380	165	425	664	406	84	197	183	6	12	10	13
KF010745.1.1485	49	89	130	100	36	54	30	50	33	107	34	53	72	41	43	69	25	79	58	73	44	28	74	46	157	95	36	61	29	84	16	29	0	1	1	6
GQ264163.1.1479	350	121	62	401	5	96	59	79	10	50	34	10	45	4	11	8	16	181	1	3	14	8	69	16	22	8	40	27	25	12	14	3	4	2	1	0
HQ118376.1.1485	13	36	21	14	24	28	23	10	22	25	45	23	33	19	21	16	24	24	25	30	28	10	38	28	36	30	20	43	20	28	13	35	52	34	7	28
JF219557.1.1314	5	7	2	4	12	5	5	3	6	8	7	15	14	16	12	5	9	3	18	16	6	23	9	14	5	9	4	9	9	9	10	15	27	13	22	23
GU305772.1.1500	52	24	115	31	52	54	41	36	76	46	76	51	61	45	20	39	125	58	54	89	88	83	63	99	308	94	70	269	139	43	85	80	2	3	7	5
LN570710.1.1362	122	48	25	118	7	12	11	19	11	32	44	13	9	25	33	12	22	21	11	9	14	10	48	16	42	37	65	11	9	30	12	5	7	6	6	23
HE653819.1.1489	15	25	10	16	26	17	20	20	21	15	7	23	27	18	5	5	11	11	21	15	16	12	22	21	17	4	21	13	21	7	14	19	7	10	5	9
OTU_dn_1187	1	2	1	2	0	1	1	0	0	0	2	0	5	2	4	1	2	2	1	1	2	1	1	1	2	2	1	1	2	4	0	1	1	1	3	0
KC331363.1.1504	58	89	22	88	17	23	83	15	22	38	16	26	68	25	36	27	37	24	28	23	9	7	41	27	32	15	37	49	14	37	24	28	87	60	77	86
KC994703.1.1521	36	53	23	46	12	81	38	19	4	61	15	2	37	12	7	4	9	38	1	2	12	7	22	7	4	20	17	11	4	5	5	4	4	15	12	10
HQ645174.1.1488	600	225	133	450	90	222	82	110	19	157	72	54	118	60	45	23	26	85	74	31	59	66	104	49	71	100	156	24	52	29	52	22	0	1	0	1
AB272318.1.1241	482	1	225	430	50	1	56	15	80	104	0	1	95	0	17	1	0	104	0	3	0	0	0	0	0	0	2	106	1	6	5	59	0	0	0	0
FN421523.1.1393	1297	502	1792	1068	1097	814	413	1293	500	1281	198	1099	558	130	146	214	198	851	311	1498	537	253	889	914	713	874	726	327	221	79	257	268	0	1	0	3
GU731266.1.1363	176	571	94	326	550	447	363	153	190	322	237	118	386	111	130	159	183	235	144	152	149	145	476	169	369	156	149	298	75	106	57	171	40	31	11	32
JN662331.1.1469	11	25	3	24	17	8	19	3	23	8	9	15	22	18	11	16	10	2	14	10	7	10	9	9	14	12	20	26	14	15	14	15	17	18	12	17
FJ546400.1.1213	85	16	58	206	11	9	12	4	0	24	0	4	14	3	1	0	2	10	0	3	2	1	2	2	0	3	5	4	0	0	0	2	0	0	0	0
GQ284428.1.1479	748	132	186	496	4	12	20	5	7	22	38	7	33	15	16	2	1	9	2	9	3	3	54	19	29	2	28	7	4	4	1	3	0	0	0	1
KC295704.1.1459	427	2	515	950	104	17	83	2	124	152	1	12	167	0	3	2	4	387	3	3	11	2	0	2	1	3	1	150	2	27	16	125	5	0	0	0
OTU_dn_91	25	17	11	24	6	18	12	11	15	13	21	13	24	12	16	10	24	14	17	13	12	13	17	6	6	10	16	22	10	16	20	13	16	13	6	16
GQ288981.1.1352	85	78	45	104	89	122	120	46	65	79	65	117	61	35	53	90	112	31	53	63	90	73	100	139	200	75	145	132	144	42	80	99	12	1	6	3
FM209333.1.1493	68	410	178	144	60	311	72	152	114	192	122	100	245	184	249	176	124	124	182	60	284	81	330	212	325	221	167	275	208	364	57	54	12	7	4	17
AB974259.1.1427	133	149	320	118	160	181	308	630	2	537	17	12	68	2	1	1	4	600	1	23	16	6	63	22	2	10	12	44	6	0	4	6	0	0	0	3
OTU_dn_1395	1	1	2	2	3	1	3	0	1	0	0	1	3	6	3	0	1	2	1	2	2	1	1	1	0	1	5	0	3	0	1	1	1	2	1	3
EF516625.1.1481	3	4	9	0	2	5	5	4	6	3	3	5	2	12	4	2	2	3	3	6	5	6	5	1	10	4	16	0	3	1	4	2	13	17	8	10
FJ936901.1.1446	567	101	99	880	22	90	78	56	24	125	52	36	88	34	35	32	37	89	21	35	19	15	52	40	60	50	35	79	18	47	6	24	31	23	11	18
EF018585.1.1350	11	39	2	23	42	26	39	5	36	21	35	36	34	31	33	37	48	14	42	27	29	43	19	49	32	27	36	53	19	32	32	44	110	53	45	47
AY792241.1.1440	32	23	56	47	11	9	14	23	33	10	27	50	8	11	13	18	31	74	13	26	38	17	26	23	38	15	31	13	44	13	155	59	11	3	3	13
DQ490465.1.1485	183	0	37	60	0	28	3	1	3	4	0	19	3	1	2	1	7	1	4	11	2	8	0	1	3	29	0	4	1	0	0	0	0	0	0	0
JF135626.1.1327	9	47	11	11	20	26	31	17	53	24	8	34	43	37	26	9	27	14	28	15	37	20	44	20	3	6	24	21	11	13	23	15	13	12	8	23
HM187195.1.1469	3	4	0	0	1	1	3	2	1	0	4	0	3	2	3	2	3	0	7	0	1	3	0	2	3	0	1	2	1	2	1	3	9	3	11	4
JX406196.1.1491	743	290	832	572	96	77	28	124	17	149	45	17	170	53	21	32	33	227	69	74	38	17	99	72	75	31	20	59	16	27	5	15	1	1	0	1
AM935389.1.1375	2	3	3	3	2	2	2	2	9	1	7	9	5	31	14	10	12	1	18	5	12	6	9	5	5	10	16	34	6	6	4	5	51	63	70	58
FN421585.1.1365	126	364	157	210	99	170	151	185	149	255	95	115	125	100	76	263	186	91	86	213	104	124	126	118	272	129	105	277	85	91	56	195	37	51	14	21
FM209319.1.1474	21	28	10	45	103	96	88	36	574	67	321	202	55	54	148	264	192	48	181	346	212	260	48	283	184	127	247	94	436	391	481	227	39	30	24	54
FN794255.1.1445	16	39	56	18	28	77	36	80	38	103	53	64	52	23	34	27	36	70	34	39	52	34	38	18	66	49	55	23	39	13	31	38	0	1	0	0
OTU_dn_118	8	25	2	15	5	2	4	2	2	12	3	0	5	4	8	8	1	14	3	4	6	2	2	1	1	1	1	0	2	7	7	1	6	7	0	4
KF532129.1.1401	217	0	19	4	0	3	5	0	0	26	0	0	0	0	0	3	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_212	21	4	1	9	0	2	5	1	0	5	0	0	4	1	3	0	2	2	0	0	4	0	1	0	1	2	0	1	3	1	0	0	2	4	4	4
OTU_dn_119	1	9	1	2	14	8	12	3	20	0	7	10	15	4	9	53	3	1	21	25	14	1	1	6	16	3	4	9	2	2	0	6	0	1	0	1
HM269108.1.1360	70	186	38	61	107	83	148	45	101	158	50	33	143	39	37	76	82	73	94	84	57	27	40	26	114	25	34	40	35	21	14	37	2	4	0	7
FM872861.1.1446	306	507	487	234	1437	857	786	401	564	838	855	461	583	199	265	484	636	668	523	463	373	501	677	1160	1121	624	535	981	493	337	285	917	1	0	0	0
AB240243.1.1452	3	4	0	3	4	1	3	1	0	1	2	1	0	3	5	3	1	1	3	2	2	1	3	1	2	0	3	2	1	6	3	3	6	8	6	11
OTU_dn_2	296	1398	412	365	596	529	383	1503	25	1497	81	6	540	7	19	3	8	1314	30	10	33	13	157	16	105	3	13	4	8	0	4	14	0	1	0	0
FN421497.1.1383	548	201	653	387	395	283	149	441	150	442	79	401	225	54	57	81	69	268	103	478	180	85	314	287	200	270	270	129	80	30	81	87	0	0	0	0
OTU_dn_2972	8	1	4	0	0	0	0	0	0	2	2	0	1	1	1	0	0	3	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1
OTU_dn_46	32	31	13	34	30	32	33	15	27	23	4	28	45	39	38	15	14	17	29	30	33	18	37	22	9	5	42	27	31	29	29	21	36	62	40	36
OTU_dn_1177	1	3	1	2	0	0	0	0	1	1	4	1	0	2	0	0	3	1	8	2	3	1	1	0	0	0	0	4	2	0	3	0	5	1	2	3
OTU_dn_37	10	40	7	18	60	27	20	12	41	21	20	32	30	34	33	29	47	26	35	34	35	32	47	39	25	32	24	28	23	30	36	35	66	77	87	73
OTU_dn_4460	3	1	0	2	0	1	1	1	0	2	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
JF167878.1.1326	34	66	69	94	14	20	44	136	4	39	1	3	17	3	1	7	0	91	1	3	2	5	6	5	4	1	0	0	1	0	0	0	0	0	0	0
GQ389063.1.1478	401	261	439	595	364	395	225	225	365	551	770	485	375	224	184	442	454	480	329	397	278	405	424	595	1111	1120	633	1026	359	365	219	823	16	16	22	16
HQ118960.1.1448	27	174	42	19	472	604	928	237	304	321	58	60	476	21	84	10	178	133	85	67	61	70	117	172	57	113	33	290	163	13	49	111	0	0	0	0
FQ660408.1.1357	145	100	278	80	18	23	40	30	32	74	76	149	102	59	42	60	39	106	16	81	74	60	53	43	128	85	55	9	25	9	3	32	0	1	0	0
OTU_dn_397	71	101	18	45	3	11	13	13	2	13	5	1	15	2	8	5	9	34	2	2	5	1	4	3	4	11	1	0	3	0	1	1	1	0	3	2
OTU_dn_237	7	4	0	5	30	38	28	6	1	9	1	2	14	1	5	1	3	2	8	4	5	3	2	5	5	9	8	8	0	0	4	5	0	1	0	0
OTU_dn_5258	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_dn_1523	34	21	3	30	0	4	8	0	0	7	12	3	4	11	15	2	4	5	4	1	6	3	5	8	2	0	9	14	3	1	6	0	18	24	5	26
AY425762.1.1402	229	543	150	326	392	340	235	174	150	345	194	154	380	109	123	101	219	219	141	166	111	166	175	111	289	262	133	173	92	145	82	124	19	13	16	27
EF516949.1.1445	1	0	0	0	3	1	2	0	5	1	1	2	1	1	1	1	3	0	5	1	0	5	1	3	1	2	1	5	0	10	5	4	11	6	1	4
HM061947.1.1403	42	50	24	57	24	36	46	10	36	31	52	37	69	74	107	36	33	30	54	32	47	38	27	40	19	41	58	66	54	35	39	57	195	182	90	119
KF712867.1.1523	15	18	9	12	15	13	23	6	36	17	19	30	17	56	47	26	30	3	47	28	31	33	22	26	12	31	51	47	27	26	31	34	100	125	115	99
AM411962.1.1365	30	120	33	44	55	110	182	84	85	105	45	155	146	26	52	55	47	102	69	79	46	31	182	58	79	41	96	30	46	44	53	51	8	6	9	12
DQ404706.1.1495	24	31	14	54	10	23	23	14	15	31	3	12	26	26	28	15	25	19	22	17	18	11	22	5	7	11	24	33	14	10	8	12	20	11	17	6
OTU_dn_45	436	880	420	325	174	683	323	382	143	509	294	177	413	271	254	119	199	397	282	124	297	153	563	231	329	450	411	161	396	329	167	66	5	2	2	6
OTU_dn_1907	12	3	1	18	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU223940.1.1532	11	8	3	23	18	8	24	4	14	7	1	8	12	7	4	4	8	6	15	11	12	6	12	13	2	2	9	3	20	4	9	9	10	15	2	4
AB672163.1.1441	34	91	14	45	56	60	64	50	59	37	40	72	85	62	74	17	59	33	70	24	51	40	52	42	38	28	68	36	36	16	57	53	112	59	25	79
FJ946541.1.1290	130	140	29	230	13	68	80	47	33	55	22	59	45	18	26	40	22	99	18	39	57	17	96	22	67	10	54	23	17	6	8	21	14	12	2	9
OTU_dn_5214	1	1	0	1	0	1	0	0	0	0	0	0	0	2	3	1	1	0	0	0	1	0	0	0	1	0	2	0	1	0	2	0	1	1	0	1
KM007102.1.1463	33	14	9	3	3	31	13	6	8	12	3	7	7	5	12	6	5	15	9	5	12	3	32	8	9	11	16	1	15	4	4	1	1	3	3	1
OTU_dn_1009	1	0	0	0	1	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	3
OTU_dn_164	17	49	8	10	2	6	10	7	0	14	14	5	5	4	5	6	4	12	0	0	0	1	79	5	6	0	3	0	0	1	0	0	0	1	3	6
FJ232684.1.1339	45	34	13	33	43	20	25	17	31	32	9	16	24	17	27	13	19	22	30	27	34	29	18	19	16	17	22	11	17	7	19	18	15	25	16	7
AB487542.1.1343	79	25	175	190	12	0	32	1	0	0	0	0	0	0	0	1	0	48	0	18	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	8
OTU_dn_257	16	5	1	10	1	0	1	0	0	2	0	0	1	0	0	0	0	6	1	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1
HF548406.1.1395	225	784	143	383	553	558	589	275	777	385	390	730	935	364	472	596	742	287	793	645	357	274	711	443	522	266	412	929	412	546	287	788	372	428	401	490
HM061839.1.1442	8	47	24	23	20	50	58	39	54	36	26	45	47	36	27	25	31	54	30	63	44	29	47	29	42	34	56	51	52	17	45	41	25	35	12	45
OTU_dn_4386	1	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX222852.1.1443	295	277	247	326	402	340	244	126	179	253	117	130	178	35	42	176	144	290	244	233	82	34	184	217	239	133	108	148	34	63	11	260	0	0	0	2
OTU_dn_345	4	8	0	1	6	2	7	2	11	1	7	2	4	4	9	7	3	3	7	6	7	7	1	6	3	4	12	4	4	1	5	4	8	18	7	5
OTU_dn_126	4	6	0	4	11	12	8	1	21	6	11	13	13	6	11	3	16	7	14	8	6	8	7	10	14	7	8	22	13	13	8	8	1	0	4	1
GQ088104.1.1338	4	4	3	5	7	10	7	5	17	12	17	8	3	8	9	17	11	5	9	10	7	11	4	8	11	8	10	11	17	9	9	10	7	5	5	7
EF018838.1.1401	2	4	0	0	0	0	1	0	2	0	0	0	1	3	5	0	1	0	6	0	0	3	1	1	1	0	2	3	1	0	0	3	7	3	1	4
OTU_dn_574	10	3	1	8	5	9	7	2	5	4	5	3	5	2	7	7	3	5	3	3	5	4	4	8	5	10	10	2	4	9	2	5	7	4	3	1
AY289397.1.1425	38	40	2	78	29	8	33	2	10	9	21	6	11	16	14	16	11	1	13	4	12	7	16	13	13	9	10	28	8	30	7	9	25	17	30	18
AATN01001290.251.1721	20	48	3	14	36	42	44	13	32	31	37	21	59	59	61	28	66	26	49	30	45	41	56	38	22	25	39	39	29	32	23	41	90	97	88	69
OTU_dn_611	4	6	1	6	22	4	8	4	0	2	1	1	16	2	5	2	3	1	3	0	2	2	19	6	7	2	5	5	0	1	1	7	7	4	5	11
OTU_dn_4246	3	1	0	0	5	1	1	1	3	1	1	0	0	1	3	1	3	1	0	0	0	2	2	1	0	2	5	2	0	0	0	0	0	3	1	1
JF265850.1.1359	46	71	34	43	49	55	28	36	23	40	19	20	74	42	29	26	22	52	23	14	19	29	38	28	33	30	23	45	14	25	21	22	27	24	15	27
KT835570.1.1453	11	7	0	6	4	1	10	1	4	4	2	2	4	15	15	6	7	1	4	1	3	6	2	4	3	3	11	1	5	4	10	8	9	11	18	23
JX223090.1.1452	59	133	9	72	124	43	106	24	77	61	64	78	98	77	88	70	107	35	134	69	33	43	63	86	48	27	52	143	48	92	43	100	243	183	112	145
LN567941.1.1336	6	7	0	3	1	10	6	3	1	2	1	9	7	7	9	1	4	1	8	5	5	1	8	3	2	1	3	16	6	5	2	7	4	3	6	7
HM061819.1.1471	16	31	13	27	21	36	50	11	57	27	39	41	59	113	77	55	57	16	106	32	51	53	27	49	29	39	68	113	42	72	51	45	263	176	136	183
JN697961.1.1372	456	214	156	717	50	1329	1431	252	271	438	163	248	148	83	131	119	355	442	203	169	372	109	345	627	322	166	311	162	634	52	111	111	0	1	0	1
GQ369056.1.1320	39	6	8	55	1	8	2	7	1	17	5	5	6	4	2	1	3	3	1	5	1	3	5	0	14	7	5	5	2	4	1	1	38	9	8	16
OTU_dn_101	11	22	4	13	20	10	41	5	33	17	18	19	26	20	27	15	24	7	16	18	24	12	18	28	19	16	27	18	7	8	21	35	24	31	21	21
OTU_dn_13	168	61	261	44	29	175	97	82	12	112	8	8	50	10	2	4	11	90	3	29	23	6	34	15	34	9	24	45	3	9	2	3	1	2	0	0
AB487659.1.1338	48	77	21	68	26	27	63	32	34	39	35	34	77	73	58	39	49	25	50	35	32	30	64	54	43	47	74	81	40	67	32	43	240	270	208	225
OTU_dn_182	49	0	75	25	2	3	4	31	0	18	0	2	0	0	0	0	0	42	0	5	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0
JF796778.1.1361	12	7	11	14	7	2	3	3	4	7	10	7	9	9	6	6	7	8	10	5	9	3	1	2	1	11	5	10	8	6	7	4	9	9	6	8
AB252876.1.1484	8	4	2	4	8	11	9	4	9	8	6	8	11	14	13	5	10	6	17	13	14	6	6	4	2	2	10	14	11	2	7	4	27	39	35	27
KF037870.1.1478	8	28	3	15	19	25	30	7	18	7	9	19	24	9	12	14	17	12	12	16	16	8	27	15	7	4	12	29	11	10	21	15	10	7	9	10
AB821134.1.1422	10	4	9	24	0	6	4	4	1	20	8	2	6	2	10	3	5	17	2	5	4	3	2	4	6	6	3	11	5	3	2	1	11	12	4	9
HM274116.1.1360	22	156	18	48	22	55	88	28	61	42	39	72	78	29	57	66	19	55	57	49	57	14	103	30	45	26	44	17	32	14	18	22	5	4	5	8
OTU_dn_132	200	0	0	39	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU983367.1.1441	323	7	172	112	56	2	13	12	21	63	40	59	95	33	27	15	10	171	14	26	27	13	13	20	28	31	47	16	11	12	15	26	3	1	1	2
EU881105.1.1535	25	26	13	28	20	19	21	16	33	27	14	24	25	42	36	29	31	9	31	33	32	38	36	25	15	17	29	5	21	14	22	20	39	61	56	29
OTU_dn_6	94	209	59	194	123	296	155	125	79	227	51	74	183	42	76	51	18	196	48	43	62	33	314	46	61	21	71	22	24	14	23	31	1	1	1	0
FN421512.1.1361	165	231	166	379	229	301	223	116	103	263	85	189	180	81	60	67	69	150	74	127	114	82	384	178	132	82	152	218	44	85	60	97	37	22	30	28
KF712575.1.1502	8	20	5	7	7	13	15	10	16	11	27	15	14	23	24	7	27	10	18	8	7	16	12	13	12	10	12	40	4	22	23	17	38	40	56	42
OTU_dn_1146	1	3	1	0	2	5	7	2	1	5	1	0	4	0	1	5	0	1	0	4	0	2	3	0	4	0	1	0	0	0	1	0	0	1	0	0
DQ413106.1.1509	19	20	6	17	10	10	16	6	41	9	20	7	16	15	29	9	15	6	25	23	19	22	20	25	12	6	27	10	23	9	28	17	77	49	28	43
FN421992.1.1367	103	326	100	114	447	424	418	201	282	365	613	324	508	299	380	356	343	277	376	238	382	289	560	798	869	460	548	857	406	427	188	561	95	55	52	41
OTU_dn_1	162	309	175	132	554	430	441	233	263	800	1302	276	438	276	403	586	301	290	337	75	316	310	715	1397	1155	269	326	789	415	375	135	500	0	1	0	1
OTU_dn_381	5	5	0	5	6	1	7	3	1	0	4	1	8	3	4	1	2	0	2	3	2	3	3	0	0	2	1	0	1	2	0	0	0	1	0	0
OTU_dn_60	119	66	106	235	7	32	23	60	4	26	2	1	17	3	4	5	4	4	8	2	7	7	20	4	1	5	3	5	3	6	1	0	0	0	0	0
OTU_dn_1190	1	3	0	1	1	2	2	0	1	0	0	0	0	0	0	1	1	0	1	2	1	0	1	1	0	0	3	6	1	3	3	1	2	9	9	8
GQ263856.1.1471	9	16	19	26	11	37	12	15	3	18	4	10	15	11	6	3	8	21	5	6	6	2	5	10	4	23	7	1	9	0	6	4	2	1	0	1
LN572785.1.1367	17	10	88	10	5	48	11	27	6	55	43	12	32	14	10	3	13	64	9	20	16	11	18	9	28	46	51	4	11	4	15	3	5	1	1	1
DQ404823.1.1537	11	42	0	27	10	11	18	2	1	9	1	0	8	0	1	1	0	0	0	0	0	4	3	0	7	2	1	3	0	1	0	1	3	2	2	2
GU208467.1.1450	39	83	83	18	92	114	60	64	57	137	39	62	102	23	24	45	47	116	50	54	46	52	65	66	97	97	72	35	40	23	29	80	2	0	0	1
DQ451458.1.1487	1	2	0	2	0	5	6	2	2	4	3	3	0	0	2	2	2	2	2	2	5	3	1	1	2	2	4	0	1	3	2	2	3	1	2	0
KJ808212.1.1458	117	14	35	46	16	41	18	27	49	34	44	28	24	7	31	15	22	29	16	25	44	64	9	68	56	67	44	10	52	28	17	9	0	1	1	0
OTU_dn_228	19	2	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	22	15	44	65
AY395410.1.1391	29	51	16	41	42	39	47	22	38	45	36	23	51	38	26	24	56	34	41	21	25	27	29	36	38	25	15	95	17	44	15	24	30	39	30	26
JQ769690.1.1442	86	98	12	180	38	6	42	14	5	34	3	3	42	3	6	0	0	19	1	3	8	0	13	8	4	1	7	26	4	0	2	4	0	1	2	0
OTU_dn_180	22	31	3	58	4	35	46	9	2	35	1	0	17	1	1	1	0	5	0	2	2	0	21	1	0	0	0	0	0	0	0	2	0	0	0	0
FR872466.1.1421	118	113	361	89	114	245	122	301	300	236	195	407	99	180	187	212	254	256	205	721	353	480	207	193	313	713	336	276	435	162	577	253	5	5	5	2
OTU_dn_5518	2	1	0	0	1	0	0	0	3	0	1	1	0	0	0	0	2	1	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU_dn_1277	1	13	0	2	0	1	0	0	1	0	3	9	1	0	0	1	2	1	0	3	4	0	2	6	5	0	2	0	1	0	0	0	0	0	0	0
EF516880.1.1485	20	13	4	23	9	30	24	9	17	11	5	27	39	19	31	11	16	10	27	16	22	14	36	14	3	5	24	0	16	6	19	14	29	44	36	34
GQ140296.1.1517	203	379	245	229	467	983	642	343	483	737	1378	845	406	409	803	681	861	250	636	286	782	454	299	650	1106	1333	1257	451	2825	2484	814	599	9	8	3	9
OTU_dn_1094	3	6	0	6	4	5	7	2	1	3	2	0	2	3	1	3	1	2	1	0	2	0	2	1	0	3	1	8	1	6	0	1	6	7	2	1
FX555604.35.1919	43	88	69	25	3	112	30	17	43	28	263	52	65	179	170	154	95	25	85	4	43	5	17	19	115	143	107	70	228	402	66	31	0	0	0	0
GDHX01215817.4.1477	478	983	340	679	620	1062	827	356	604	765	695	707	915	406	524	361	773	456	614	594	577	453	874	629	954	758	715	1397	790	579	292	714	250	148	133	222
GQ396841.1.1496	12	55	12	18	33	26	22	21	49	26	34	30	34	43	26	19	46	28	48	28	43	30	53	30	22	13	36	19	31	22	40	25	41	48	41	50
OTU_dn_2592	204	521	424	406	461	616	356	451	301	769	453	319	547	272	255	108	590	433	333	298	438	391	533	538	631	709	394	647	512	245	210	321	2	5	0	4
HM061958.1.1474	13	10	1	6	0	0	2	0	3	0	2	4	2	1	3	3	1	0	2	1	6	1	0	2	2	2	3	3	2	0	1	3	2	4	6	3
DQ450728.1.1353	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0
FN421726.1.1361	31	29	34	22	17	71	26	29	53	18	34	49	9	36	32	84	88	21	14	68	85	93	74	180	386	170	43	56	99	37	96	6	3	0	0	0
FM211709.1.1465	9	11	15	32	14	16	15	7	18	15	15	6	8	8	9	24	18	5	18	25	16	3	14	13	31	11	13	33	10	8	12	11	3	5	0	3
FM201060.1.1322	40	60	35	57	32	69	40	26	32	50	44	45	51	75	42	33	42	25	43	28	42	22	42	22	33	37	44	67	28	27	31	44	126	109	61	93
GQ140324.1.1432	270	234	496	212	163	268	161	501	285	384	197	280	194	178	212	187	234	428	266	247	300	356	229	279	307	469	304	216	407	173	604	214	0	0	1	1
