,No_ID,Site,Genotype,Stage,Plot,Plant,Date,Compartment,Name_Id,Timepoint,Type,IsolationMethod,ID,is.neg
MRC.CELRK.V5.1.1.rhizosphere_S114_L001,117,MRC,CELRK,V5,1,1,7/10/18,rhizosphere,MRC_CELRK_V5_1_1_rhizosphere,2,sample,Griffith,MRC.CELRK.V5.1.1.rhizosphere_S114_L001,FALSE
MRC.CELRK.V5.1.2.rhizosphere_S35_L001,118,MRC,CELRK,V5,1,2,7/10/18,rhizosphere,MRC_CELRK_V5_1_2_rhizosphere,2,sample,Griffith,MRC.CELRK.V5.1.2.rhizosphere_S35_L001,FALSE
MRC.CELRK.V5.1.3.rhizosphere_S4_L001,119,MRC,CELRK,V5,1,3,7/10/18,rhizosphere,MRC_CELRK_V5_1_3_rhizosphere,2,sample,Griffith,MRC.CELRK.V5.1.3.rhizosphere_S4_L001,FALSE
MRC.CELRK.V5.2.1.rhizosphere_S53_L001,120,MRC,CELRK,V5,2,1,7/10/18,rhizosphere,MRC_CELRK_V5_2_1_rhizosphere,2,sample,Griffith,MRC.CELRK.V5.2.1.rhizosphere_S53_L001,FALSE
MRC.CELRK.V5.2.2.rhizosphere_S49_L001,121,MRC,CELRK,V5,2,2,7/10/18,rhizosphere,MRC_CELRK_V5_2_2_rhizosphere,2,sample,Griffith,MRC.CELRK.V5.2.2.rhizosphere_S49_L001,FALSE
MRC.CELRK.V5.2.3.rhizosphere_S108_L001,122,MRC,CELRK,V5,2,3,7/10/18,rhizosphere,MRC_CELRK_V5_2_3_rhizosphere,2,sample,Griffith,MRC.CELRK.V5.2.3.rhizosphere_S108_L001,FALSE
MRC.CELRK.V5.3.1.rhizosphere_S85_L001,123,MRC,CELRK,V5,3,1,7/10/18,rhizosphere,MRC_CELRK_V5_3_1_rhizosphere,2,sample,Griffith,MRC.CELRK.V5.3.1.rhizosphere_S85_L001,FALSE
MRC.CELRK.V5.3.2.rhizosphere_S42_L001,124,MRC,CELRK,V5,3,2,7/10/18,rhizosphere,MRC_CELRK_V5_3_2_rhizosphere,2,sample,Griffith,MRC.CELRK.V5.3.2.rhizosphere_S42_L001,FALSE
MRC.CELRK.V5.3.3.rhizosphere_S11_L001,125,MRC,CELRK,V5,3,3,7/10/18,rhizosphere,MRC_CELRK_V5_3_3_rhizosphere,2,sample,Griffith,MRC.CELRK.V5.3.3.rhizosphere_S11_L001,FALSE
MRF.CELRK.dry.1.1.rhizoplane_S86_L001,195,MRC,CELRK,dry,1,1,9/6/18,rhizoplane,MRF_CELRK_dry_1_1_rhizoplane,6,sample,Griffith,MRF.CELRK.dry.1.1.rhizoplane_S86_L001,FALSE
MRF.CELRK.dry.1.1.rhizosphere_S45_L001,70,MRC,CELRK,dry,1,1,9/6/18,rhizosphere,MRF_CELRK_dry_1_1_rhizosphere,6,sample,Griffith,MRF.CELRK.dry.1.1.rhizosphere_S45_L001,FALSE
MRF.CELRK.dry.1.2.rhizoplane_S41_L001,196,MRC,CELRK,dry,1,2,9/6/18,rhizoplane,MRF_CELRK_dry_1_2_rhizoplane,6,sample,Griffith,MRF.CELRK.dry.1.2.rhizoplane_S41_L001,FALSE
MRF.CELRK.dry.1.2.rhizosphere_S125_L001,71,MRC,CELRK,dry,1,2,9/6/18,rhizosphere,MRF_CELRK_dry_1_2_rhizosphere,6,sample,Griffith,MRF.CELRK.dry.1.2.rhizosphere_S125_L001,FALSE
MRF.CELRK.dry.2.1.rhizoplane_S38_L001,197,MRC,CELRK,dry,2,1,9/6/18,rhizoplane,MRF_CELRK_dry_2_1_rhizoplane,6,sample,Griffith,MRF.CELRK.dry.2.1.rhizoplane_S38_L001,FALSE
MRF.CELRK.dry.2.1.rhizosphere_S94_L001,72,MRC,CELRK,dry,2,1,9/6/18,rhizosphere,MRF_CELRK_dry_2_1_rhizosphere,6,sample,Griffith,MRF.CELRK.dry.2.1.rhizosphere_S94_L001,FALSE
MRF.CELRK.dry.2.2.rhizoplane_S133_L001,198,MRC,CELRK,dry,2,2,9/6/18,rhizoplane,MRF_CELRK_dry_2_2_rhizoplane,6,sample,Griffith,MRF.CELRK.dry.2.2.rhizoplane_S133_L001,FALSE
MRF.CELRK.dry.2.2.rhizosphere_S23_L001,73,MRC,CELRK,dry,2,2,9/6/18,rhizosphere,MRF_CELRK_dry_2_2_rhizosphere,6,sample,Griffith,MRF.CELRK.dry.2.2.rhizosphere_S23_L001,FALSE
