,No_ID,Site,Genotype,Stage,Plot,Plant,Date,Compartment,Name_Id,Timepoint,Type,IsolationMethod,ID,is.neg
MRF.CELRK.dry.3.1.rhizoplane_S31_L001,199,MRC,CELRK,dry,3,1,9/6/18,rhizoplane,MRF_CELRK_dry_3_1_rhizoplane,6,sample,Griffith,MRF.CELRK.dry.3.1.rhizoplane_S31_L001,FALSE
MRF.CELRK.dry.3.1.rhizosphere_S96_L001,74,MRC,CELRK,dry,3,1,9/6/18,rhizosphere,MRF_CELRK_dry_3_1_rhizosphere,6,sample,Griffith,MRF.CELRK.dry.3.1.rhizosphere_S96_L001,FALSE
MRF.CELRK.dry.3.2.rhizoplane_S81_L001,200,MRC,CELRK,dry,3,2,9/6/18,rhizoplane,MRF_CELRK_dry_3_2_rhizoplane,6,sample,Griffith,MRF.CELRK.dry.3.2.rhizoplane_S81_L001,FALSE
MRF.CELRK.dry.3.2.rhizosphere_S109_L001,75,MRC,CELRK,dry,3,2,9/6/18,rhizosphere,MRF_CELRK_dry_3_2_rhizosphere,6,sample,Griffith,MRF.CELRK.dry.3.2.rhizosphere_S109_L001,FALSE
MRF.CELRK.dry.3.3.rhizoplane_S123_L001,201,MRC,CELRK,dry,3,3,9/6/18,rhizoplane,MRF_CELRK_dry_3_3_rhizoplane,6,sample,Griffith,MRF.CELRK.dry.3.3.rhizoplane_S123_L001,FALSE
MRF.CELRK.dry.3.3.rhizosphere_S44_L001,76,MRC,CELRK,dry,3,3,9/6/18,rhizosphere,MRF_CELRK_dry_3_3_rhizosphere,6,sample,Griffith,MRF.CELRK.dry.3.3.rhizosphere_S44_L001,FALSE
MRF.CELRK.flowering.pod.2.2.rhizoplane_S25_L001,204,MRC,CELRK,flowering/pod,2,2,8/2/18,rhizoplane,MRF_CELRK_flowering_pod_2_2_rhizoplane,3,sample,Griffith,MRF.CELRK.flowering.pod.2.2.rhizoplane_S25_L001,FALSE
MRF.CELRK.flowering.pod.2.2.rhizosphere_S86_L001,79,MRC,CELRK,flowering/pod,2,2,8/2/18,rhizosphere,MRF_CELRK_flowering_pod_2_2_rhizosphere,3,sample,Griffith,MRF.CELRK.flowering.pod.2.2.rhizosphere_S86_L001,FALSE
MRF.CELRK.flowering.pod.3.1.rhizoplane_S129_L001,206,MRC,CELRK,flowering/pod,3,1,8/2/18,rhizoplane,MRF_CELRK_flowering_pod_3_1_rhizoplane,3,sample,Griffith,MRF.CELRK.flowering.pod.3.1.rhizoplane_S129_L001,FALSE
MRF.CELRK.flowering.pod.3.1.rhizosphere_S124_L001,81,MRC,CELRK,flowering/pod,3,1,8/2/18,rhizosphere,MRF_CELRK_flowering_pod_3_1_rhizosphere,3,sample,Griffith,MRF.CELRK.flowering.pod.3.1.rhizosphere_S124_L001,FALSE
MRF.CELRK.flowering.pod.3.2.rhizoplane_S92_L001,207,MRC,CELRK,flowering/pod,3,2,8/2/18,rhizoplane,MRF_CELRK_flowering_pod_3_2_rhizoplane,3,sample,Griffith,MRF.CELRK.flowering.pod.3.2.rhizoplane_S92_L001,FALSE
MRF.CELRK.flowering.pod.3.2.rhizosphere_S93_L001,82,MRC,CELRK,flowering/pod,3,2,8/2/18,rhizosphere,MRF_CELRK_flowering_pod_3_2_rhizosphere,3,sample,Griffith,MRF.CELRK.flowering.pod.3.2.rhizosphere_S93_L001,FALSE
MRF.CELRK.pod.1.1.rhizoplane_S140_L001,202,MRC,CELRK,pod,1,1,8/2/18,rhizoplane,MRF_CELRK_pod_1_1_rhizoplane,4,sample,Griffith,MRF.CELRK.pod.1.1.rhizoplane_S140_L001,FALSE
MRF.CELRK.pod.1.1.rhizosphere_S54_L001,77,MRC,CELRK,pod,1,1,8/2/18,rhizosphere,MRF_CELRK_pod_1_1_rhizosphere,4,sample,Griffith,MRF.CELRK.pod.1.1.rhizosphere_S54_L001,FALSE
MRF.CELRK.pod.2.1.rhizoplane_S118_L001,203,MRC,CELRK,pod,2,1,8/2/18,rhizoplane,MRF_CELRK_pod_2_1_rhizoplane,4,sample,Griffith,MRF.CELRK.pod.2.1.rhizoplane_S118_L001,FALSE
MRF.CELRK.pod.2.1.rhizosphere_S68_L001,78,MRC,CELRK,pod,2,1,8/2/18,rhizosphere,MRF_CELRK_pod_2_1_rhizosphere,4,sample,Griffith,MRF.CELRK.pod.2.1.rhizosphere_S68_L001,FALSE
MRF.CELRK.pod.2.3.rhizoplane_S5_L001,205,MRC,CELRK,pod,2,3,8/2/18,rhizoplane,MRF_CELRK_pod_2_3_rhizoplane,4,sample,Griffith,MRF.CELRK.pod.2.3.rhizoplane_S5_L001,FALSE
MRF.CELRK.pod.2.3.rhizosphere_S107_L001,80,MRC,CELRK,pod,2,3,8/2/18,rhizosphere,MRF_CELRK_pod_2_3_rhizosphere,4,sample,Griffith,MRF.CELRK.pod.2.3.rhizosphere_S107_L001,FALSE
MRF.CELRK.V2.1.1.rhizoplane_S30_L001,217,MRC,CELRK,V2,1,1,7/2/18,rhizoplane,MRF_CELRK_V2_1_1_rhizoplane,1,sample,Griffith,MRF.CELRK.V2.1.1.rhizoplane_S30_L001,FALSE
MRF.CELRK.V2.1.1.rhizosphere_S118_L001,11,MRC,CELRK,V2,1,1,7/2/18,rhizosphere,MRC_CELRK_V2_1_1_rhizosphere,1,sample,Griffith,MRF.CELRK.V2.1.1.rhizosphere_S118_L001,FALSE
MRF.CELRK.V2.1.2.rhizoplane_S121_L001,218,MRC,CELRK,V2,1,2,7/2/18,rhizoplane,MRF_CELRK_V2_1_2_rhizoplane,1,sample,Griffith,MRF.CELRK.V2.1.2.rhizoplane_S121_L001,FALSE
MRF.CELRK.V2.1.2.rhizosphere_S58_L001,12,MRC,CELRK,V2,1,2,7/2/18,rhizosphere,MRC_CELRK_V2_1_2_rhizosphere,1,sample,Griffith,MRF.CELRK.V2.1.2.rhizosphere_S58_L001,FALSE
MRF.CELRK.V2.2.1.rhizoplane_S76_L001,220,MRC,CELRK,V2,2,1,7/2/18,rhizoplane,MRF_CELRK_V2_2_1_rhizoplane,1,sample,Griffith,MRF.CELRK.V2.2.1.rhizoplane_S76_L001,FALSE
MRF.CELRK.V2.2.1.rhizosphere_S76_L001,13,MRC,CELRK,V2,2,1,7/2/18,rhizosphere,MRC_CELRK_V2_2_1_rhizosphere,1,sample,Griffith,MRF.CELRK.V2.2.1.rhizosphere_S76_L001,FALSE
MRF.CELRK.V2.2.2.rhizoplane_S62_L001,221,MRC,CELRK,V2,2,2,7/2/18,rhizoplane,MRF_CELRK_V2_2_2_rhizoplane,1,sample,Griffith,MRF.CELRK.V2.2.2.rhizoplane_S62_L001,FALSE
MRF.CELRK.V2.2.2.rhizosphere_S16_L001,14,MRC,CELRK,V2,2,2,7/2/18,rhizosphere,MRC_CELRK_V2_2_2_rhizosphere,1,sample,Griffith,MRF.CELRK.V2.2.2.rhizosphere_S16_L001,FALSE
MRF.CELRK.V2.2.3.rhizoplane_S111_L001,222,MRC,CELRK,V2,2,3,7/2/18,rhizoplane,MRF_CELRK_V2_2_3_rhizoplane,1,sample,Griffith,MRF.CELRK.V2.2.3.rhizoplane_S111_L001,FALSE
MRF.CELRK.V2.2.3.rhizosphere_S24_L001,15,MRC,CELRK,V2,2,3,7/2/18,rhizosphere,MRC_CELRK_V2_2_3_rhizosphere,1,sample,Griffith,MRF.CELRK.V2.2.3.rhizosphere_S24_L001,FALSE
MRF.CELRK.V2.3.1.rhizoplane_S27_L001,223,MRC,CELRK,V2,3,1,7/2/18,rhizoplane,MRF_CELRK_V2_3_1_rhizoplane,1,sample,Griffith,MRF.CELRK.V2.3.1.rhizoplane_S27_L001,FALSE
MRF.CELRK.V2.3.1.rhizosphere_S61_L001,16,MRC,CELRK,V2,3,1,7/2/18,rhizosphere,MRC_CELRK_V2_3_1_rhizosphere,1,sample,Griffith,MRF.CELRK.V2.3.1.rhizosphere_S61_L001,FALSE
MRF.CELRK.V2.3.2.rhizoplane_S122_L001,224,MRC,CELRK,V2,3,2,7/2/18,rhizoplane,MRF_CELRK_V2_3_2_rhizoplane,1,sample,Griffith,MRF.CELRK.V2.3.2.rhizoplane_S122_L001,FALSE
MRF.CELRK.V2.3.2.rhizosphere_S92_L001,17,MRC,CELRK,V2,3,2,7/2/18,rhizosphere,MRC_CELRK_V2_3_2_rhizosphere,1,sample,Griffith,MRF.CELRK.V2.3.2.rhizosphere_S92_L001,FALSE
MRF.CELRK.V2.3.3.rhizoplane_S113_L001,225,MRC,CELRK,V2,3,3,7/2/18,rhizoplane,MRF_CELRK_V2_3_3_rhizoplane,1,sample,Griffith,MRF.CELRK.V2.3.3.rhizoplane_S113_L001,FALSE
MRF.CELRK.V2.3.3.rhizosphere_S120_L001,18,MRC,CELRK,V2,3,3,7/2/18,rhizosphere,MRC_CELRK_V2_3_3_rhizosphere,1,sample,Griffith,MRF.CELRK.V2.3.3.rhizosphere_S120_L001,FALSE
MRF.CELRK.V5.1.1.rhizoplane_S3_L001,242,MRC,CELRK,V5,1,1,7/10/18,rhizoplane,MRF_CELRK_V5_1_1_rhizoplane,2,sample,Griffith,MRF.CELRK.V5.1.1.rhizoplane_S3_L001,FALSE
MRF.CELRK.V5.1.2.rhizoplane_S136_L001,243,MRC,CELRK,V5,1,2,7/10/18,rhizoplane,MRF_CELRK_V5_1_2_rhizoplane,2,sample,Griffith,MRF.CELRK.V5.1.2.rhizoplane_S136_L001,FALSE
MRF.CELRK.V5.1.3.rhizoplane_S60_L001,244,MRC,CELRK,V5,1,3,7/10/18,rhizoplane,MRF_CELRK_V5_1_3_rhizoplane,2,sample,Griffith,MRF.CELRK.V5.1.3.rhizoplane_S60_L001,FALSE
MRF.CELRK.V5.2.1.rhizoplane_S32_L001,245,MRC,CELRK,V5,2,1,7/10/18,rhizoplane,MRF_CELRK_V5_2_1_rhizoplane,2,sample,Griffith,MRF.CELRK.V5.2.1.rhizoplane_S32_L001,FALSE
MRF.CELRK.V5.2.2.rhizoplane_S109_L001,246,MRC,CELRK,V5,2,2,7/10/18,rhizoplane,MRF_CELRK_V5_2_2_rhizoplane,2,sample,Griffith,MRF.CELRK.V5.2.2.rhizoplane_S109_L001,FALSE
MRF.CELRK.V5.2.3.rhizoplane_S10_L001,247,MRC,CELRK,V5,2,3,7/10/18,rhizoplane,MRF_CELRK_V5_2_3_rhizoplane,2,sample,Griffith,MRF.CELRK.V5.2.3.rhizoplane_S10_L001,FALSE
MRF.CELRK.V5.3.1.rhizoplane_S80_L001,248,MRC,CELRK,V5,3,1,7/10/18,rhizoplane,MRF_CELRK_V5_3_1_rhizoplane,2,sample,Griffith,MRF.CELRK.V5.3.1.rhizoplane_S80_L001,FALSE
MRF.CELRK.V5.3.2.rhizoplane_S85_L001,249,MRC,CELRK,V5,3,2,7/10/18,rhizoplane,MRF_CELRK_V5_3_2_rhizoplane,2,sample,Griffith,MRF.CELRK.V5.3.2.rhizoplane_S85_L001,FALSE
MRF.CELRK.V5.3.3.rhizoplane_S67_L001,250,MRC,CELRK,V5,3,3,7/10/18,rhizoplane,MRF_CELRK_V5_3_3_rhizoplane,2,sample,Griffith,MRF.CELRK.V5.3.3.rhizoplane_S67_L001,FALSE
MRF.Eclipse.flowering.pod.1.1.rhizoplane_S137_L001,208,MRC,Eclipse,flowering/pod,1,1,8/2/18,rhizoplane,MRF_Eclipse_flowering_pod_1_1_rhizoplane,3,sample,Griffith,MRF.Eclipse.flowering.pod.1.1.rhizoplane_S137_L001,FALSE
MRF.Eclipse.flowering.pod.1.1.rhizosphere_S17_L001,83,MRC,Eclipse,flowering/pod,1,1,8/2/18,rhizosphere,MRF_Eclipse_flowering_pod_1_1_rhizosphere,3,sample,Griffith,MRF.Eclipse.flowering.pod.1.1.rhizosphere_S17_L001,FALSE
MRF.Eclipse.flowering.pod.1.2.rhizoplane_S68_L001,209,MRC,Eclipse,flowering/pod,1,2,8/2/18,rhizoplane,MRF_Eclipse_flowering_pod_1_2_rhizoplane,3,sample,Griffith,MRF.Eclipse.flowering.pod.1.2.rhizoplane_S68_L001,FALSE
MRF.Eclipse.flowering.pod.1.2.rhizosphere_S43_L001,84,MRC,Eclipse,flowering/pod,1,2,8/2/18,rhizosphere,MRF_Eclipse_flowering_pod_1_2_rhizosphere,3,sample,Griffith,MRF.Eclipse.flowering.pod.1.2.rhizosphere_S43_L001,FALSE
MRF.Eclipse.flowering.pod.1.3.rhizoplane_S100_L001,210,MRC,Eclipse,flowering/pod,1,3,8/2/18,rhizoplane,MRF_Eclipse_flowering_pod_1_3_rhizoplane,3,sample,Griffith,MRF.Eclipse.flowering.pod.1.3.rhizoplane_S100_L001,FALSE
MRF.Eclipse.flowering.pod.1.3.rhizosphere_S52_L001,85,MRC,Eclipse,flowering/pod,1,3,8/2/18,rhizosphere,MRF_Eclipse_flowering_pod_1_3_rhizosphere,3,sample,Griffith,MRF.Eclipse.flowering.pod.1.3.rhizosphere_S52_L001,FALSE
MRF.Eclipse.flowering.pod.2.1.rhizoplane_S108_L001,211,MRC,Eclipse,flowering/pod,2,1,8/2/18,rhizoplane,MRF_Eclipse_flowering_pod_2_1_rhizoplane,3,sample,Griffith,MRF.Eclipse.flowering.pod.2.1.rhizoplane_S108_L001,FALSE
MRF.Eclipse.flowering.pod.2.1.rhizosphere_S70_L001,86,MRC,Eclipse,flowering/pod,2,1,8/2/18,rhizosphere,MRF_Eclipse_flowering_pod_2_1_rhizosphere,3,sample,Griffith,MRF.Eclipse.flowering.pod.2.1.rhizosphere_S70_L001,FALSE
MRF.Eclipse.flowering.pod.2.2.rhizoplane_S97_L001,212,MRC,Eclipse,flowering/pod,2,2,8/2/18,rhizoplane,MRF_Eclipse_flowering_pod_2_2_rhizoplane,3,sample,Griffith,MRF.Eclipse.flowering.pod.2.2.rhizoplane_S97_L001,FALSE
MRF.Eclipse.flowering.pod.2.2.rhizosphere_S104_L001,87,MRC,Eclipse,flowering/pod,2,2,8/2/18,rhizosphere,MRF_Eclipse_flowering_pod_2_2_rhizosphere,3,sample,Griffith,MRF.Eclipse.flowering.pod.2.2.rhizosphere_S104_L001,FALSE
MRF.Eclipse.flowering.pod.2.3.rhizosphere_S40_L001,88,MRC,Eclipse,flowering/pod,2,3,8/2/18,rhizosphere,MRF_Eclipse_flowering_pod_2_3_rhizosphere,3,sample,Griffith,MRF.Eclipse.flowering.pod.2.3.rhizosphere_S40_L001,FALSE
MRF.Eclipse.flowering.pod.3.1.rhizoplane_S28_L001,214,MRC,Eclipse,flowering/pod,3,1,8/2/18,rhizoplane,MRF_Eclipse_flowering_pod_3_1_rhizoplane,3,sample,Griffith,MRF.Eclipse.flowering.pod.3.1.rhizoplane_S28_L001,FALSE
MRF.Eclipse.flowering.pod.3.1.rhizosphere_S36_L001,89,MRC,Eclipse,flowering/pod,3,1,8/2/18,rhizosphere,MRF_Eclipse_flowering_pod_3_1_rhizosphere,3,sample,Griffith,MRF.Eclipse.flowering.pod.3.1.rhizosphere_S36_L001,FALSE
MRF.Eclipse.flowering.pod.3.2.rhizoplane_S59_L001,215,MRC,Eclipse,flowering/pod,3,2,8/2/18,rhizoplane,MRF_Eclipse_flowering_pod_3_2_rhizoplane,3,sample,Griffith,MRF.Eclipse.flowering.pod.3.2.rhizoplane_S59_L001,FALSE
MRF.Eclipse.flowering.pod.3.2.rhizosphere_S29_L001,90,MRC,Eclipse,flowering/pod,3,2,8/2/18,rhizosphere,MRF_Eclipse_flowering_pod_3_2_rhizosphere,3,sample,Griffith,MRF.Eclipse.flowering.pod.3.2.rhizosphere_S29_L001,FALSE
MRF.Eclipse.flowering.pod.3.3.rhizoplane_S22_L001,216,MRC,Eclipse,flowering/pod,3,3,8/2/18,rhizoplane,MRF_Eclipse_flowering_pod_3_3_rhizoplane,3,sample,Griffith,MRF.Eclipse.flowering.pod.3.3.rhizoplane_S22_L001,FALSE
MRF.Eclipse.flowering.pod.3.3.rhizosphere_S110_L001,91,MRC,Eclipse,flowering/pod,3,3,8/2/18,rhizosphere,MRF_Eclipse_flowering_pod_3_3_rhizosphere,3,sample,Griffith,MRF.Eclipse.flowering.pod.3.3.rhizosphere_S110_L001,FALSE
MRF.Eclipse.pod.1.1.rhizoplane_S55_L001,186,MRC,Eclipse,pod,1,1,9/6/18,rhizoplane,MRF_Eclipse_pod_1_1_rhizoplane,4,sample,Griffith,MRF.Eclipse.pod.1.1.rhizoplane_S55_L001,FALSE
MRF.Eclipse.pod.1.1.rhizosphere_S8_L001,61,MRC,Eclipse,pod,1,1,9/6/18,rhizosphere,MRF_Eclipse_pod_1_1_rhizosphere,4,sample,Griffith,MRF.Eclipse.pod.1.1.rhizosphere_S8_L001,FALSE
MRF.Eclipse.pod.2.1.rhizoplane_S88_L001,189,MRC,Eclipse,pod,2,1,9/6/18,rhizoplane,MRF_Eclipse_pod_2_1_rhizoplane,4,sample,Griffith,MRF.Eclipse.pod.2.1.rhizoplane_S88_L001,FALSE
MRF.Eclipse.pod.2.1.rhizosphere_S27_L001,64,MRC,Eclipse,pod,2,1,9/6/18,rhizosphere,MRF_Eclipse_pod_2_1_rhizosphere,4,sample,Griffith,MRF.Eclipse.pod.2.1.rhizosphere_S27_L001,FALSE
MRF.Eclipse.pod.2.2.rhizoplane_S95_L001,190,MRC,Eclipse,pod,2,2,9/6/18,rhizoplane,MRF_Eclipse_pod_2_2_rhizoplane,4,sample,Griffith,MRF.Eclipse.pod.2.2.rhizoplane_S95_L001,FALSE
MRF.Eclipse.pod.2.2.rhizosphere_S91_L001,65,MRC,Eclipse,pod,2,2,9/6/18,rhizosphere,MRF_Eclipse_pod_2_2_rhizosphere,4,sample,Griffith,MRF.Eclipse.pod.2.2.rhizosphere_S91_L001,FALSE
MRF.Eclipse.senesc.1.2.rhizoplane_S29_L001,187,MRC,Eclipse,senesc,1,2,9/6/18,rhizoplane,MRF_Eclipse_senesc_1_2_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.1.2.rhizoplane_S29_L001,FALSE
MRF.Eclipse.senesc.1.2.rhizosphere_S56_L001,62,MRC,Eclipse,senesc,1,2,9/6/18,rhizosphere,MRF_Eclipse_senesc_1_2_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.1.2.rhizosphere_S56_L001,FALSE
MRF.Eclipse.senesc.1.3.rhizoplane_S7_L001,188,MRC,Eclipse,senesc,1,3,9/6/18,rhizoplane,MRF_Eclipse_senesc_1_3_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.1.3.rhizoplane_S7_L001,FALSE
MRF.Eclipse.senesc.1.3.rhizosphere_S34_L001,63,MRC,Eclipse,senesc,1,3,9/6/18,rhizosphere,MRF_Eclipse_senesc_1_3_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.1.3.rhizosphere_S34_L001,FALSE
MRF.Eclipse.senesc.2.3.rhizoplane_S105_L001,191,MRC,Eclipse,senesc,2,3,9/6/18,rhizoplane,MRF_Eclipse_senesc_2_3_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.2.3.rhizoplane_S105_L001,FALSE
MRF.Eclipse.senesc.2.3.rhizosphere_S19_L001,66,MRC,Eclipse,senesc,2,3,9/6/18,rhizosphere,MRF_Eclipse_senesc_2_3_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.2.3.rhizosphere_S19_L001,FALSE
MRF.Eclipse.senesc.3.1.rhizoplane_S99_L001,192,MRC,Eclipse,senesc,3,1,9/6/18,rhizoplane,MRF_Eclipse_senesc_3_1_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.3.1.rhizoplane_S99_L001,FALSE
MRF.Eclipse.senesc.3.1.rhizosphere_S62_L001,67,MRC,Eclipse,senesc,3,1,9/6/18,rhizosphere,MRF_Eclipse_senesc_3_1_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.3.1.rhizosphere_S62_L001,FALSE
MRF.Eclipse.senesc.3.2.rhizoplane_S20_L001,193,MRC,Eclipse,senesc,3,2,9/6/18,rhizoplane,MRF_Eclipse_senesc_3_2_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.3.2.rhizoplane_S20_L001,FALSE
MRF.Eclipse.senesc.3.2.rhizosphere_S116_L001,68,MRC,Eclipse,senesc,3,2,9/6/18,rhizosphere,MRF_Eclipse_senesc_3_2_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.3.2.rhizosphere_S116_L001,FALSE
MRF.Eclipse.senesc.3.3.rhizoplane_S12_L001,194,MRC,Eclipse,senesc,3,3,9/6/18,rhizoplane,MRF_Eclipse_senesc_3_3_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.3.3.rhizoplane_S12_L001,FALSE
MRF.Eclipse.senesc.3.3.rhizosphere_S55_L001,69,MRC,Eclipse,senesc,3,3,9/6/18,rhizosphere,MRF_Eclipse_senesc_3_3_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.3.3.rhizosphere_S55_L001,FALSE
MRF.Eclipse.V2.1.1.rhizoplane_S84_L001,136,MRC,Eclipse,V2,1,1,7/2/18,rhizoplane,MRF_Eclipse_V2_1_1_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.1.1.rhizoplane_S84_L001,FALSE
MRF.Eclipse.V2.1.1.rhizosphere_S12_L001,92,MRC,Eclipse,V2,1,1,7/2/18,rhizosphere,MRF_Eclipse_V2_1_1_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.1.1.rhizosphere_S12_L001,FALSE
MRF.Eclipse.V2.1.2.rhizoplane_S89_L001,137,MRC,Eclipse,V2,1,2,7/2/18,rhizoplane,MRF_Eclipse_V2_1_2_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.1.2.rhizoplane_S89_L001,FALSE
MRF.Eclipse.V2.1.2.rhizosphere_S65_L001,93,MRC,Eclipse,V2,1,2,7/2/18,rhizosphere,MRF_Eclipse_V2_1_2_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.1.2.rhizosphere_S65_L001,FALSE
MRF.Eclipse.V2.1.3.rhizoplane_S93_L001,219,MRC,Eclipse,V2,1,3,7/2/18,rhizoplane,MRF_Eclipse_V2_1_3_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.1.3.rhizoplane_S93_L001,FALSE
MRF.Eclipse.V2.1.3.rhizosphere_S111_L001,94,MRC,Eclipse,V2,1,3,7/2/18,rhizosphere,MRF_Eclipse_V2_1_3_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.1.3.rhizosphere_S111_L001,FALSE
MRF.Eclipse.V2.2.1.rhizoplane_S77_L001,138,MRC,Eclipse,V2,2,1,7/2/18,rhizoplane,MRF_Eclipse_V2_2_1_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.2.1.rhizoplane_S77_L001,FALSE
MRF.Eclipse.V2.2.1.rhizosphere_S26_L001,95,MRC,Eclipse,V2,2,1,7/2/18,rhizosphere,MRF_Eclipse_V2_2_1_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.2.1.rhizosphere_S26_L001,FALSE
MRF.Eclipse.V2.2.2.rhizoplane_S39_L001,139,MRC,Eclipse,V2,2,2,7/2/18,rhizoplane,MRF_Eclipse_V2_2_2_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.2.2.rhizoplane_S39_L001,FALSE
